TXmedCounty_ListPrice_2016_2017$Date,TXmedCounty_ListPrice_2016_2017$DC,totals
2017-06,7B,203046.04545454544
2017-06,7C,182500
2017-06,8,168450
2017-06,8A,159255
2017-06,9,233831.5
2017-07,1,295104.02173913043
2017-07,10,149872.25
2017-07,2,200260
2017-07,3,247078.79166666666
2017-07,4,182200
2017-07,5,224687.13157894736
2017-07,6,174952.17647058822
2017-07,7B,202498.36363636365
2017-07,7C,177450
2017-07,8,168875
2017-07,8A,160370
2017-07,9,230166.66666666666
2017-08,1,295850.9130434783
2017-08,10,148740
2017-08,2,196989
2017-08,3,247891.45833333334
2017-08,4,182445
2017-08,5,224189.42105263157
2017-08,6,173108.91176470587
2017-08,7B,200928.54545454544
2017-08,7C,172250
2017-08,8,168636.66666666666
2017-08,8A,160525.9
2017-08,9,237390
2017-09,1,294740.32608695654
2017-09,10,148062.5
2017-09,2,197339
2017-09,3,247184.02083333334
2017-09,4,183759.5
2017-09,5,224172.13157894736
2017-09,6,174231.76470588235
2017-09,7B,196980.9090909091
2017-09,7C,170450
2017-09,8,168362.33333333334
2017-09,8A,160370
2017-09,9,233859.66666666666
2017-10,1,295652.0652173913
2017-10,10,148915
2017-10,2,192219
2017-10,3,245880.41666666666
2017-10,4,184159
2017-10,5,223336.65789473685
2017-10,6,174838.23529411765
2017-10,7B,197274.42307692306
2017-10,7C,179300
2017-10,8,167150
2017-10,8A,163480
2017-10,9,240048.66666666666
2017-11,1,292702.5652173913
2017-11,10,144658.75
2017-11,2,192640
2017-11,3,241157.38
2017-11,4,183370.7
2017-11,5,224832.68421052632
2017-11,6,176469.73529411765
2017-11,7B,198632
2017-11,7C,177075
2017-11,8,169529
2017-11,8A,166550
2017-11,9,239831.66666666666
2017-12,1,295315.39130434784
2017-12,10,143900
2017-12,2,197530
2017-12,3,244494.9
2017-12,4,182600
2017-12,5,222770.1052631579
2017-12,6,175439.82352941178
2017-12,7B,197607.3076923077
2017-12,7C,178325
2017-12,8,170876.5
2017-12,8A,160310
2017-12,9,240712.66666666666
