RegionName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07
Elko County,NV,Elko,32,7,995,229999.5,232000,234500,232900,232950,234900,234900,235950,236500,238950,236750,236000,239000,231000,239900,239500,239900,229900,230000,229900,232000,229900,229000,220000,215000,205000,209950,205000,209900,222900,224900,214900,214900,205000,205000,208500,217500,229900,244900,249900,241800,245000,239900,239900,241995.5,239900,239000,239900,235000,234500,230000,235000,241000,235900,239900,231700,229900,235000,229900,230000,237900,237900,239900,239000,239900,238900,235700,239450,238000,230900,239000,235000,239000,239900,239000,242950,245000,244900,246000,241000,239900,238000,230000,234900,239000,236250,239900,245000,239900,242780,249500,249250,254840,258900,264525,265500,264950,265000,264900,264780,265000,265000,269900,255000,259900,260000,260000,260450,260450,261900,262900,267938.5,269700,274900,274938.5
Warren County,MS,Vicksburg,28,149,996,139900,149000,139950,140000,140000,139700,141650,143200,149000,148150,145000,139900,135000,135000,138750,146950,149000,150000,147500,147500,149000,145000,142500,132000,130000,133500,139250,132250,130000,129250,129250,127900,128750,135000,157900,149450,156400,129900,129900,132500,135000,135000,134500,136900,135950,134500,138500,138000,138000,139500,143700,148900,146450,147500,145900,147500,147700,147700,142500,140000,139950,142500,145000,146000,149900,149700,145000,140000,157500,152450,155000,157950,152250,158200,159900,159900,155000,149900,149000,144900,144950,145000,140000,135000,135000,134900,139950,140000,139900,139500,148950,145000,139300,145000,144900,135000,129000,129900,129900,131000,130000,135000,142747.5,139000,149000,153500,141000,153500,153500,145000,148450,145000,137102,149750,139950
Jessamine County,KY,Lexington-Fayette,21,113,997,148250,149900,154000,155500,153505,149900,149000,148750,149900,149900,149900,147950,140000,145000,144000,139000,139000,139000,139000,139000,144900,139950,149500,150000,154000,150000,145000,143900,147200,140000,139900,139450,139000,139450,139900,144900,149250,139900,143450,149500,149900,149000,155000,158650,155000,147900,149000,148450,147950,146450,154950,159900,164900,158500,161625,159950,159900,159700,159700,157500,158700,166900,158900,154900,159850,157900,159900,161875,164500,164900,164700,164500,160950,164900,169700,169950,178900,189700,184900,183000,189650,191400,194900,185000,187000,192450,205000,225517,251495,244450,244700,239900,229900,238500,249900,245000,251258,255000,257900,247500,250783,259900,258900,245000,246642.5,245750,249900,255000,255000,249400,254570,254520,262450,265660,253900
Loudon County,TN,Knoxville,47,105,998,275000,269900,260000,259900,275000,259900,259900,260000,259900,252750,249900,249900,249900,254950,252500,249900,254000,259900,259800,252450,249900,249000,209900,219900,209900,192500,196275,209900,194950,225000,225000,199700,219000,209900,216000,214950,199950,199900,219900,229000,219900,251200,244900,249900,249700,243900,249250,242450,232000,234000,239900,250000,259000,258550,250000,266500,264900,259900,259900,249900,249900,253115,253115,259000,280000,286000,284900,274900,275000,265000,263900,269900,267500,274900,269900,272400,279000,280000,289900,289900,289900,289000,284900,283450,287450,289900,294700,310900,305950,319900,319950,320000,309900,316000,299900,304550,309900,299900,309950,312950,315000,319900,325000,316250,315000,315000,324500,319900,324900,324900,329900,354900,349900,350000,334500
Newaygo County,MI,,26,123,999,119900,119900,119900,121500,119900,117000,114900,114900,117000,115000,112250,110000,109900,106297,108000,109900,110000,109700,105000,105000,109500,1.00E+05,105000,109000,105000,1.00E+05,99900,99900,99900,99900,101000,99500,99000,94900,97500,92500,91850,98950,99600,99950,107900,107000,105000,102900,104900,105500,105250,104900,104999,104900,113450,115000,118500,115750,115000,114500,112350,102900,109000,102900,99000,98900,109700,112600,116400,119900,119900,119000,118200,115900,117000,110450,110000,109900,109900,119000,115000,124900,122000,125000,124700,116900,113250,110000,109900,105000,119700,129900,127000,138950,139800,130000,129900,129450,118200,128500,119900,121450,124900,124900,137000,144700,145000,152500,149900,145000,148000,149450,145000,150000,147250,149900,149900,159950,156000
Laurens County,GA,Dublin,13,175,1000,164950,159000,144000,139900,139500,140750,139900,149900,149900,149900,149900,145000,144500,144800,144800,139800,138000,134000,138500,139900,139900,138750,139000,139900,142900,138250,135000,134900,128500,128500,129700,129000,125450,117000,119900,117000,117000,123900,122900,129000,130000,132500,130000,134900,129950,132000,130000,129850,135900,135000,137750,129650,134400,129900,129900,129900,139400,139000,138000,132500,136200,131500,129900,139900,139900,139900,139900,147000,146900,139900,130000,129900,129250,128750,129775,137200,137900,139900,135000,135000,134950,137500,138000,139900,139900,149949.5,157450,149900,154900,157700,154250,149800,139900,144900,145800,142500,144900,139950,159850,154995,149800,141950,148750,159900,159900,159900,174450,174950,171450,174000,159950,175000,174900,165000,169000
Curry County,NM,Clovis,35,9,1001,,,,,,,,,,,,,,,,,,,,,,,,,,,159000,167000,169900,175000,177500,171550,174949.5,170000,170000,169949.5,172600,169990,172000,175000,171000,172000,178500,168000,169900,162999.5,159900,160000,163450,162000,169900,169900,174000,169900,169000,169900,165000,165000,166000,165500,169950,169900,169250,174900,174000,179450,175500,174950,178000,175500,159947.5,159625,159900,159900,165000,174900,174950,174900,169950,168000,165000,159900,155000,155000,155000,159900,163500,165000,165000,157000,161000,160000,159450,164000,162000,163000,169250,169900,168700,174900,165000,169500,178000,178000,179900,178000,179450,177700,175000,174900,181000,185000,183950,175000,177900
Delaware County,NY,,36,25,1002,169949.5,169999,164000,159900,166950,171000,168750,179000,179000,179000,179000,179000,179000,179000,179000,169000,169000,177000,175000,179000,179000,179000,189000,179000,175000,169900,179000,179000,179000,184150,179900,179000,179000,175000,169700,170000,173450,174900,175000,169000,179000,169450,169900,169000,179000,179000,179000,170000,171000,175000,175450,179000,179700,179700,170000,169000,169000,169000,163500,165000,159000,159000,159000,159000,165000,165000,165000,159700,165000,165000,165900,165000,160000,151500,149900,149900,159000,159900,162000,164000,159950,164450,165000,167000,165000,159900,159900,169000,169000,169500,169000,169000,169000,160000,159900,155000,152500,159000,155000,155000,159999,165000,168950,168900,169000,169900,169900,170500,169000,169900,169000,174900,174900,169900,174900
Carroll County,NH,,33,3,1003,265000,260000,262450,264900,265000,265000,259000,259900,268950,269000,269900,259000,259900,269500,259000,249900,259900,249949.5,249900,249900,249900,249900,239000,229900,229900,226950,239000,229900,229900,229000,229000,229000,229900,225000,224900,219900,219700,215000,214950,219900,225000,224950,225000,229000,227000,227250,228000,228000,229900,229000,232000,249000,249900,249000,249900,249500,244900,239900,248400,239500,239000,229900,229900,237750,239000,239900,245000,244800,244900,244900,242250,240000,239900,243500,259900,255000,250000,250000,259000,251000,249999,259000,259900,265000,269900,275000,275000,279000,279800,278900,275000,275000,269900,275000,275000,275000,275000,279900,285000,285000,285000,289900,289900,289900,289900,292250,295000,289900,299250,297700,295900,296450,295900,299000,292200
Queen Annes County,MD,Baltimore-Columbia-Towson,24,35,1004,379990,379000,369945,364900,349900,349900,349900,339950,345000,347450,349525,339945,339825,339000,340000,359950,369000,364900,369000,365000,359900,357900,349900,341445,349900,350000,349900,358000,364900,349999,359900,354170,359000,349900,349900,334700,325000,324950,331950,342890,349000,344900,349000,349900,349900,349900,349000,339990,339920,339990,350000,358950,369000,363900,349950,340000,345000,340000,339900,339900,329000,334900,335000,331000,339000,339950,339900,344900,349000,339999.5,341000,339900,344900,342490,355500,369000,374900,375000,379500,379000,375000,369900,359900,359450,354400,359450,369900,379900,379900,389000,388667,379900,379900,385000,381900,380900,375000,364500,375000,371572,375000,375000,384900,385900,385900,387900,387900,389450,378000,376500,389900,410000,422400,424995,419900
Macoupin County,IL,St. Louis,17,117,1005,97200,95000,96900,99900,99800,102500,102500,104950,104000,99700,96900,92900,94000,95000,93300,93300,95000,94900,89900,89900,89900,89900,89900,89900,89900,89000,89900,89900,89900,92950,93750,92900,95450,92500,91750,89700,89900,89000,88100,87700,83400,84900,84700,87900,89250,85000,89900,89900,89900,90000,92700,90000,90000,92000,94900,92950,89900,89900,87900,86000,86000,87900,89000,89900,92000,92000,94900,90500,93550,95500,92900,89900,84900,87900,90950,90950,96500,96000,95000,88400,88900,89700,87500,85500,79900,79900,81194.5,84900,89900,87500,89450,89900,89250,89900,89900,92900,93250,93749.5,93449.5,99900,98750,99900,99900,102400,99900,97750,89900,89900,85900,82000,89900,99900,99500,98950,95000
Beaufort County,NC,Washington,37,13,1006,225900,218750,229000,210000,205000,199900,199900,199900,199500,199900,199000,185900,192400,195000,189949.5,189999,199000,195000,188500,189900,189900,195000,196750,189000,199000,199500,199500,190000,189000,189000,189000,185000,179900,180950,193200,193200,199900,199900,199900,199900,199900,199900,183700,182500,189000,185000,189000,195000,195000,187900,185000,189900,189000,189000,188500,189000,189000,189000,188250,185000,185000,196950,199900,199900,209900,199900,198750,197900,199900,199900,196000,194000,195000,195900,199900,199000,2.00E+05,198650,199500,198650,199900,217500,218500,219900,218000,218700,229000,239900,249900,249000,249000,229000,219250,224900,219000,215000,227500,225688.5,236900,239900,236900,249900,244950,244900,247000,239900,229900,229900,232000,239900,238500,235000,237000,235000,235000
Franklin County,VT,Burlington-South Burlington,50,11,1007,202450,199900,207450,199900,209000,199900,199900,199967.5,199900,199900,199700,199000,199000,199000,195000,197750,199000,199000,199000,199897.5,194900,194392.5,189900,195250,197735,199000,199000,198500,199900,199900,199900,199000,199000,199900,195000,199500,199700,199900,207109.5,209900,204950,205000,208359.5,207000,199900,199900,198900,195450,195900,190000,199000,199500,210513,219000,219000,211500,209000,210000,210000,209900,2.00E+05,199900,207250,207250,208250,211900,214450,219900,217000,210000,215500,215000,209900,214900,218000,219000,224000,219000,215000,217450,219900,215000,220000,219900,224900,224950,229000,229000,229000,225000,225000,219950,219900,224700,229000,219900,219000,219900,219900,225000,225000,229900,229000,233000,239900,239900,247000,245000,245000,245000,248450,246000,240000,245000,241000
Navarro County,TX,Corsicana,48,349,1008,,,,,,,,,,,,,,,,,,,,,,,,,,,139900,148250,147900,149000,134700,144250,147900,150000,140000,147900,149000,145000,147900,145000,147500,149000,144975,139987,145000,149000,149900,150000,151700,154900,149000,147900,148900,149900,149900,148670,149500,148175,139900,143000,149500,143000,144900,159900,159900,156950,165000,165450,175000,169900,172450,165000,158900,159950,171450,174900,174950,176000,181200,189900,189900,174950,175000,165000,145000,148500,151000,168750,164700,159950,169900,164700,169900,159900,159950,154000,149900,158750,169750,195000,195000,195500,188500,174400,169000,164900,172250,171500,189450,175500,179500,179900,190000,215000,215000
Stephenson County,IL,Freeport,17,177,1009,115900,109900,112950,118900,112500,111750,112400,111150,110000,109900,109000,99900,98000,96900,96500,108700,109900,113750,113500,110000,109900,107400,99999,99500,99500,95000,99900,99900,105000,101450,99900,99900,99000,94411,92900,89900,89900,88000,88900,93999,95900,96750,95900,92500,92000,89900,89900,89900,89999,95000,99000,99500,99900,99900,99500,99300,95000,97000,94900,89900,89900,88900,94900,94900,99900,104900,104900,99900,95900,94900,89900,85950,86000,88900,89900,92900,94900,95000,94900,89900,89900,89900,89900,84900,84900,85900,84900,89900,95000,95000,92900,95000,91400,87500,84950,85900,84900,86900,86400,89900,89900,94900,94900,88177.5,92250,94900,92500,93700,92250,95000,99900,102500,104500,104900,109900
Oktibbeha County,MS,Starkville,28,105,1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257750,265450,264950,265000,264700,257500,254950,249900,249900,254900,259500,248950,245000,240000,239000,229900,229950,232000,235000,238000,245000,249900,249000,252000,249900,245000,241750,235000,249000
Carter County,OK,Ardmore,40,19,1011,136950,139900,132950,129900,129900,147950,149900,149900,149900,149900,149400,149900,139200,138700,139900,138900,139900,146500,152500,149400,146200,139900,136700,134950,137450,139900,157000,159900,157500,158900,149900,154900,169250,165000,166000,155000,149900,159900,158500,159150,159900,159900,162500,165250,169250,167700,159900,149900,149900,159900,163000,159900,159950,159900,169500,169000,164450,159900,179900,192400,189900,189900,189450,179900,188900,183200,178000,156950,149900,149000,149500,149950,159000,159900,167950,168150,169500,173450,169900,164900,165000,164900,160000,160000,177500,179900,174950,172450,184950,179900,179900,169900,167250,164900,159900,157400,155450,159450,160000,160060,165000,163539,165000,165000,159950,159450,159000,159900,159000,155500,157734,152500,157700,149950,148900
Noble County,IN,Kendallville,18,113,1012,119700,115950,119900,126000,127000,127500,119900,117500,115450,112000,109900,90950,103750,103750,106950,114500,114900,114500,122900,124900,124900,124900,119900,114900,114900,109175,112500,113700,104900,110000,116200,112500,113700,103500,108900,108200,104250,102900,104500,109900,109900,109900,109950,109900,109900,114900,115950,112375,113250,121000,139900,133700,133200,134950,131500,129900,124900,124900,116500,122000,114900,124900,124900,119900,124900,124900,120728.5,119900,119900,119900,124900,119900,123875,115700,129500,130000,139900,139900,139900,137500,129250,128250,126700,135700,134900,134500,139900,138000,134900,134500,134900,128900,134700,132900,139900,129950,133700,131450,129900,139900,148500,148500,140000,148500,150000,155500,155900,152400,140000,151200,155000,155900,173700,179395,162900
Osage County,OK,Tulsa,40,113,1013,135000,135000,139700,140000,159900,165000,159800,155000,145000,149450,149000,140000,135900,133225,137600,137900,139900,140825,139900,139000,139900,135000,130000,133200,134900,139900,139900,149900,149900,156900,151425,128200,135000,132000,128900,129900,130000,144947.5,144900,149950,152500,154825,149925,149000,143393,140031.5,139675,134389.5,134850,131900,137500,133929,145000,140425,139900,143435,148150,149900,156500,149900,154950,146750,142450,139700,141000,140000,145000,140000,154300,158000,155350,155900,158250,149900,158750,167900,159900,159500,149500,149500,149950,142900,139750,136250,147900,152500,160000,159900,169000,175000,175000,169900,172500,175750,169900,169000,169000,155000,155000,170000,167500,169900,170000,184950,168000,161500,168950,159900,163000,159500,169700,180000,175000,174950,179900
Santa Cruz County,AZ,Nogales,4,23,1014,168000,159900,159900,159950,159900,159000,158950,158900,164950,166900,170140,189000,175000,177000,165000,164900,164200,167450,165750,163700,159950,159000,159900,164900,165000,154700,144900,161450,169450,160000,169450,174700,178900,179000,189700,189900,189900,189000,190000,197750,199450,196000,190000,189500,198000,198000,198000,190000,189000,189900,195000,198000,215000,215000,199900,215000,207500,199900,199900,219950,229000,199900,229000,238750,219950,225000,229450,219900,230000,239000,239000,239950,239450,229450,225000,232900,247000,240000,239000,227450,229000,238500,224000,227900,247000,237950,242450,239000,230000,239950,239250,239000,249000,239250,249000,250000,249000,252500,260000,265000,259000,250000,258500,255600,249900,259000,265000,259450,260000,274500,275000,289900,280000,272000,262200
Stokes County,NC,Winston-Salem,37,169,1015,165950,164000,159400,159900,159900,159900,159900,159000,159000,155000,154900,150000,149900,154900,157950,149900,151900,158900,154900,154900,159700,156900,149900,149500,149900,149900,150000,149900,145902.5,145902.5,149800,145900,139450,144950,150600,144500,149900,149900,150000,152950,149900,149000,146900,146400,146400,150000,154900,150000,154900,140200,139000,144900,149900,156450,149900,149900,161750,153900,153900,149900,149900,149000,148250,145900,149900,163500,169900,174900,169900,164200,159900,164900,159900,159900,159950,170150,170000,159950,144950,148950,146900,149900,155400,154900,164900,172900,189900,184900,204500,193400,188200,181900,179050,178600,173450,167900,172000,172000,172250,188500,183900,189000,187500,179900,179900,179900,179450,180000,179900,179200,189900,189000,189900,204900,194900
Lafayette County,MS,Oxford,28,71,1016,209900,204500,199900,199995,199900,199900,198900,199500,199900,199900,198200,189900,191500,179900,180000,195750,199000,199700,2.00E+05,2.00E+05,209450,209450,2.00E+05,199999.5,194900,193400,199500,187500,189900,185000,184950,196200,2.00E+05,205000,199900,194900,195000,198000,195000,199800,195000,208000,205000,220000,222750,205000,209250,209000,189700,189900,198700,194900,194900,194900,200900,214700,213200,215775,234900,250000,239950,249000,249900,251900,259875,271000,269900,279000,279900,289900,279900,269250,269000,265000,259000,249000,240000,240000,239270,239900,269000,279900,299949.5,291500,267265,288000,274900,269900,279900,299900,315000,290500,310000,299000,299450,299450,305000,295000,287550,279000,269000,265450,269000,265000,265000,259900,265000,265000,259000,251525,253750,258500,259900,257000,260900
Scott County,KY,Lexington-Fayette,21,209,1017,174900,169900,170860,175000,179900,179000,177900,174900,175226.5,175453,175000,175000,169900,169900,169900,169900,169000,168500,168500,164800,164850,159900,157700,159900,159000,159000,168500,167700,169900,166975,167237.5,163900,159900,157571.5,153500,153750,153000,156000,156980,159900,159949,159900,159900,164900,169900,169900,174900,171310,169900,169900,174950,183250,185685,182000,185950,184900,179000,178950,175950,175000,175950,179900,179000,179900,189700,193870,195000,199000,199900,195992,194775,190000,189900,194900,195060,193320,191500,191900,194468,194900,190000,196197.5,195950,199950,209251,212845,212656,212010,214900,215250,215951.5,215000,217981.5,219900,219900,215988,216157,218087.5,218175,221442.5,218726,217500,214900,210000,214950,211400,216400,217500,219500,219900,226900,234900,239000,235305,234000
Washington Parish,LA,Bogalusa,22,117,1018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139407.5,126999,129500,139351.5,129900,138903,135000,132700,132700,132000,137400,135000,142450,155750,147000,139900,149900,167363.5,152500,149802.5,159430,149950,144250,144500,154853.5,154853.5,147200,155000,157205
Marshall County,IN,Plymouth,18,99,1019,145000,148250,148000,149900,149900,156950,149900,144750,146900,146000,142500,132000,129900,139000,139900,139900,149900,155000,149900,150000,154950,154900,156500,159000,155900,149900,159900,155200,149900,143200,148000,143500,145450,141200,132500,139900,139950,140000,145000,146500,142900,145450,159000,164950,159000,159900,149900,159000,159500,164950,164950,171247.5,179000,172500,154000,159900,154900,149900,150000,154900,160000,160000,159900,159900,154900,154900,158850,159000,154250,154900,152700,149900,149900,150000,150000,164700,164900,164900,164700,164500,159900,157750,159900,165000,157000,160000,162000,169500,175000,173950,174900,175000,174900,169900,169900,175000,171450,184950,179900,189450,184950,185000,175800,176500,172000,172250,174900,174950,174700,165000,179900,178450,189700,179000,178000
Douglas County,NV,Gardnerville Ranchos,32,5,1020,359500,349990,337800,332000,330000,334900,324999.5,325000,329000,329000,315000,3.00E+05,299000,275000,287900,284000,284000,279900,276500,284800,297450,299900,319990,319990,325000,299949.5,319990,299000,315000,325000,339000,349000,349000,339700,339000,361400,368000,349000,359000,349000,349900,373625,385000,399000,399000,398461,399900,375000,372450,358245,359490,375000,389900,398000,399900,399900,389000,399000,399999.5,399000,399000,395000,399800,399000,399850,4.00E+05,399000,398750,399000,399000,405000,409900,399700,410000,404450,419000,422862,421362,430805,445000,449950,459000,478000,484000,472450,479900,461450,472450,474900,465000,479000,489000,499000,499900,518500,515000,525000,525000,510000,505000,499000,517500,525000,502000,5.00E+05,518900,518950,519250,519000,509000,5.00E+05,5.00E+05,542500,550000,550000
Cherokee County,OK,Tahlequah,40,21,1021,139900,141250,140000,145000,138000,138950,140000,139900,139900,139900,132500,129900,129900,128450,128450,129900,132500,132250,129400,129900,129900,129900,127900,129900,129900,129900,131450,130000,130900,136900,139000,137000,139000,137450,133950,129900,124900,139000,137900,137900,137450,136950,134900,134900,131000,129900,129900,129000,129200,129400,129900,129000,129000,128300,129900,129900,129450,130000,135900,129900,129900,129900,129900,115000,119900,119900,136000,134400,136000,135250,134950,135500,133900,133900,135000,135000,135900,135000,134900,132500,135000,135000,135000,136950,135450,134950,135000,135000,139900,140000,140000,139900,144900,147900,150700,149900,147900,147900,141317.5,143250,136900,143200,146000,139900,138500,138750,147450,150000,152900,149900,158250,153000,155700,152900,159500
Hoke County,NC,Fayetteville,37,93,1022,157900,151499.5,150302.5,150705,149900,153250,153500,156500,157750,160900,161500,160000,159950,162500,163500,164900,164950,164950,166700,166900,168950,168000,166900,166900,172000,177500,175000,175900,175900,174900,174900,172900,169935,172950,171250,172900,170500,169900,173949.5,174900,178900,178900,176650,177500,176900,176000,175990,197900,176245,179000,175000,174900,172000,169950,172000,175000,172900,169700,165500,165500,169900,172900,169900,169900,169250,166750,165000,164900,162700,163900,164750,164500,163200,164600,165000,168950,169900,169900,169900,169900,169500,168925,169000,172000,179000,184700,183900,178500,178500,185000,184700,181950,182000,179900,178500,174900,174990,179900,174945,180000,179900,179700,179950,183500,187000,186000,189900,205950,219475,220000,219900,215900,212900,212699.5,209900
Hopkins County,KY,Madisonville,21,107,1023,125000,127500,124900,125400,112000,113450,119500,111950,104950,99900,99900,99700,97000,95700,94500,94900,94900,89900,89950,99500,107950,110900,110400,114900,116950,114900,109900,109900,112900,114000,114000,123200,119900,109950,112900,119900,119900,110900,113950,109900,105400,109900,108700,109000,110000,119450,115000,110900,115000,114900,115000,127900,124500,119750,119750,115000,119900,119900,119900,119900,120900,119900,119250,114950,119900,128700,129000,127450,134950,133450,139900,129950,129900,127950,130000,129900,129900,129900,129900,129900,129900,129900,134900,134900,135900,135000,134950,134900,131950,134700,136450,134900,134900,134950,134950,135000,137950,139900,149900,145000,139900,139900,132900,129900,132900,129900,129900,129900,129900,129900,137700,137900,143499.5,139900,134900
Fremont County,CO,Cañon City,8,43,1024,184900,185500,179900,179000,176900,178500,175000,169900,169900,169900,169900,169000,166500,169500,168250,165000,165000,165000,159900,159900,162000,159900,167800,159900,159900,159900,158350,159500,159900,159900,156000,159900,159900,159900,159000,159000,154700,154900,150000,155000,154500,154900,159900,160000,167000,169500,169367,169900,172450,174900,174150,169900,174150,175000,175000,169900,169000,169000,169800,169510,175000,179000,179000,181817.5,178900,184900,179900,180000,179800,179900,188950,189000,179950,184000,187250,189900,199900,199900,194950,198000,197000,194250,192500,189900,199450,209500,214875,214950,220000,214850,217777,225000,219900,219773.5,225000,229500,225000,237573,239900,257800,259900,260000,269900,269920,249900,252450,259900,259000,262900,249900,264950,271277.5,275000,275000,277000
Lincoln Parish,LA,Ruston,22,61,1025,172500,159450,159900,149900,149000,150000,154900,150250,145000,146439,149250,149000,149750,152050,152050,150750,155250,155000,156200,155000,148187,155000,140000,129950,129700,120000,123000,129700,125250,130000,128000,135000,139450,144900,152500,139000,153000,156250,154900,140500,145000,149000,156950,150000,155000,159750,156500,168250,169950,165625,149900,154500,152000,160000,178500,188000,179900,184500,180000,179950,194000,199000,198250,197500,219700,230000,235177.5,2.00E+05,217000,219000,209900,209950,199900,217500,233000,227450,229900,249750,249500,257500,249500,215000,231000,267000,240000,240000,269900,271500,249500,263750,269700,276000,259900,260500,259500,255000,259250,259500,268500,255000,268000,277000,274500,275000,275000,276000,269500,277000,277000,275000,265000,267450,264750,255000,262500
Chesterfield County,SC,,45,25,1026,139000,149500,134000,136500,129900,128999,134500,135449.5,139450,144250,141200,143450,137499.5,134500,129900,134900,134900,139000,139250,135000,129900,129000,129900,129900,129900,129000,119500,114900,119250,125000,129000,126500,125750,122450,125000,125000,125000,117500,119500,119000,119000,125000,125000,120000,119000,113525,111000,117000,110000,112500,119949.5,119700,122000,122250,119500,124250,124500,135000,125000,125000,135000,139000,139000,144900,149500,146250,144500,139250,142500,144750,140250,141000,142500,141000,135499.5,137750,136000,135000,139900,135000,130000,129450,129000,127500,129000,139000,139000,137450,138000,139900,142450,139950,139000,142450,144900,139900,139900,145000,140000,140950,149000,145000,140000,144200,138350,144900,137000,139900,139900,139900,139900,141000,144500,146500,148000
Culpeper County,VA,Washington-Arlington-Alexandria,51,47,1027,259000,266372.5,259000,265000,259900,257000,254950,255000,254900,249900,234950,224450,225000,215000,219900,219900,225000,229000,233495,229950,230000,229900,234900,229450,225000,237445,240750,239900,239990,236900,239000,239000,249900,246000,252535,267989,259900,259987,269450,265163.5,266618.5,279000,275990,274000,270990,271668.5,273668.5,274245,274745,276495,279900,284990,284995,284990,285951,285000,289000,279900,286029,284900,284000,289900,289900,290513,299900,299900,299900,291509.5,299900,299000,289000,289900,298495,308000,309990,299900,318950,319450,324900,325450,319900,309900,3.00E+05,297400,299999,311900,314450,319900,328900,325000,325000,325000,319900,319990,324990,319900,324999,329900,329995,339000,334950,339000,339900,339900,340050,339777,335000,335000,334990,335000,335000,334999.5,334086.5,329900,334949.5
Hillsdale County,MI,Hillsdale,26,59,1028,,,,,,,,,,,,,,,,109900,109900,109900,104900,99900,109900,99900,99900,98000,99450,109700,104450,104900,109900,109950,109449.5,105950,105900,99900,1.00E+05,99900,104950,113450,104900,109000,105000,111000,114900,114900,111900,105900,104900,95500,95000,99000,99700,114947.5,124900,123400,119950,114995,119700,124900,120000,112450,105000,112350,114950,117900,124950,128900,129000,129000,127900,124900,125900,119900,116700,119000,127000,127000,129000,127500,124950,126000,129900,129900,129900,129900,120000,129749.5,129900,129900,134000,135450,134900,135000,129900,128750,124950,124900,129000,123900,129900,129900,129650,134900,139900,133000,134900,132950,134900,130000,129900,128950,134900,139900,149900,155950,154400
Mifflin County,PA,Lewistown,42,87,1029,,,,,,,,,,,,,,,,,,,,,,,,,,,91900,99900,99000,99900,98000,95000,99500,99900,95500,99900,103400,99900,99900,89950,89900,93350,98000,94900,94000,89900,87900,84950,84900,89000,79900,89500,89900,93250,98950,92500,89900,92250,96000,89900,89900,89900,94750,95200,99700,89900,93200,90950,92000,99900,99250,99000,93900,107450,114950,119900,115000,119900,119700,119900,119900,110000,99500,93950,95950,99900,1.00E+05,97950,109900,107750,99900,109900,109900,109500,109250,99000,99250,99900,105000,119000,110000,105000,109000,109900,106450,113700,109900,97000,105000,104950,105000,109000,110000,112380,109900
Richmond County,NC,Rockingham,37,153,1030,90000,93000,98950,99900,93900,95500,99900,104000,109900,111900,99950,106000,99450,95000,94900,99900,99950,99900,99900,99900,96900,92000,89900,89000,88750,89900,89125,89900,95200,95200,99000,89900,89900,89900,89000,84900,80000,79900,81500,84900,88000,88450,88950,87000,89900,86000,89900,89900,89900,94450,99900,94950,90000,95000,94950,89950,93400,99900,99900,99000,98000,99949.5,109000,111950,107400,99900,99949.5,98000,99900,99500,98850,98500,91500,94950,99000,106900,112500,110000,110250,110000,111950,113900,114950,110000,110000,113950,115000,113500,108500,105000,103900,107000,115000,120000,119000,109900,109900,109900,114950,120500,129450,129450,119000,114000,113900,114500,114000,109950,116750,112000,114900,114900,115900,115900,114900
Kay County,OK,Ponca City,40,71,1031,124450,123950,123900,120000,120000,119500,119900,115000,110000,99500,97750,93000,94500,95000,89900,93450,94200,89900,89900,89000,89900,86200,84900,84900,85450,88900,89450,87500,79250,79900,82900,84900,89900,89900,95000,95000,94500,90000,89900,85000,98450,98000,95000,98500,98000,105000,107500,98000,93950,95000,98000,98750,104500,107900,109900,112450,105000,105000,109450,105450,109950,115000,115000,113900,110000,116500,118500,114900,115500,109000,99900,89999,96750,99400,112000,107000,110000,110000,114900,114950,112000,112000,109900,110000,105000,104000,99900,99900,108000,99900,104900,99900,99900,108450,109700,99900,117000,109900,109900,105450,112900,119000,119900,115750,114900,110000,105000,101400,102000,98000,99900,105000,110000,112000,112000
