RegionName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07
Aiken County,SC,Augusta-Richmond County,45,3,386,179900,179900,179000,179900,179900,178900,179330,182900,179900,179000,178900,179900,179000,174700,175000,179042.5,179900,178950,171500,174900,174900,174950,169900,170990,168610,168250,169900,166900,169900,168900,167250,164000,161900,160200,166000,166900,164250,161972.5,163900,167598,167950,167696,166500,166900,169900,169900,166900,169100,169000,169000,166950,165900,165000,165000,159999,159000,154900,156900,154900,156900,158500,159900,164500,169000,169000,169900,169000,169900,169900,175000,178000,183000,181600,177700,179900,179900,182500,184900,182366,179900,179900,179900,178000,177132.5,179900,176000,177300,179900,181090.5,188372.5,189000,189900,189900,189900,193990,192420,194900,196000,199900,198500,195000,194900,196320,195750,195250,193900,195000,195250,195000,193040,198140,188900,190900,189900,192370.5
Charlotte County,FL,Punta Gorda,12,15,387,179900,179900,179000,175000,169900,162725,159000,155000,149900,150000,149900,148900,149900,149900,149900,154900,155000,150000,149999,149000,149000,149900,149900,149500,149000,149900,150000,157250,159000,159000,159000,159000,159900,165000,169900,169900,174900,175000,174950,179000,175000,170000,169900,169000,165900,169000,169900,172888,175000,179000,177500,179900,179900,174900,175000,179900,180100,185000,189000,191860,194250,190000,194000,194900,197700,199000,199900,199700,2.00E+05,208900,215000,219000,219900,219900,219900,219900,219500,217900,218000,219000,219900,219900,225000,229900,239000,235000,236000,236900,234900,238420,239900,238900,239900,242000,247950,249900,250000,252900,249900,249900,249900,250000,250000,249900,249900,255000,255900,259900,259900,259900,259000,259900,259000,258000,259000
Kenton County,KY,Cincinnati,21,117,388,133111,135000,135180,138800,138800,135400,134900,132500,135000,135000,132990,129000,126000,126450,125000,125000,127000,128750,129900,128900,127500,126200,131700,129500,124900,124900,125000,126900,128000,129500,127000,129000,125000,123850,124900,124900,124000,127900,128900,125000,128000,127500,127500,125500,128000,127500,129900,126900,128500,129900,132200,134500,139700,147200,149500,145250,154200,147800,145000,149000,145000,149900,146500,145000,151000,154900,159900,159900,164900,159900,159900,145000,145000,149200,140000,149949.5,156000,154900,157650,150000,150000,149850,145250,138000,135900,143950,147900,151500,158900,159900,159900,159900,159949.5,161150,159974.5,159900,159900,159900,159900,169900,169900,174900,179900,179675,179400,185000,184900,199500,195500,199200,199999.5,205400,205990,214094.5,209899.5
Iredell County,NC,Charlotte-Concord-Gastonia,37,97,389,227492.5,225000,224900,225000,223900,224999,224900,220000,208305,210000,2.00E+05,198990,199000,199900,199900,199900,199900,199900,199900,199000,196000,199000,195000,189900,189900,189999.5,190000,194900,189900,189900,189900,194500,189900,194500,189900,190000,190000,209650,215000,219000,220145,220000,225000,221770,225000,225000,215000,219000,208000,208400,215000,219145,228990,230000,234900,239000,239700,234500,235000,235000,230000,230000,234990,240000,245000,249900,259000,259900,250000,259900,250000,239000,242900,255000,272869.5,279700,279990,280000,279900,275000,279994.5,287000,278950,284980,284900,289000,293000,305000,305000,3.00E+05,295000,285000,289450,289000,286830,289900,289900,285945,290000,290000,296400,293655,295990,294900,295990,298000,292450,289450,291995,289900,293990,297972.5,306990,302990,3.00E+05
Rensselaer County,NY,Albany-Schenectady-Troy,36,83,390,215000,214900,214900,217500,214999,210000,206850,201000,199900,199900,199900,195000,195000,199900,199900,199900,194700,190000,189900,189950,189900,189900,189900,189900,189900,194900,189900,194900,189900,189900,190000,192320,189900,189900,189700,189000,188700,192500,189900,189900,189900,189900,189900,194100,189900,185000,185000,185900,189000,189900,189900,194500,198750,190000,194900,189900,189900,187500,187500,189777,187500,184900,189500,189000,189900,194900,196250,189900,189900,185250,179994.5,179900,179000,179900,179900,184900,189900,192000,194900,189900,189900,189900,189900,179990,179900,179945,179900,189900,190000,199900,199900,199900,199900,197000,198500,199000,199900,199900,199250,195000,198250,199900,199900,199900,199900,199500,202400,202400,199900,199682,199900,204500,208450,202400,205000
Pueblo County,CO,Pueblo,8,101,391,149900,152450,149900,150000,149900,149250,147900,149900,146900,140000,139000,135000,136000,137500,132500,132250,132900,134700,134900,134900,124900,128400,124900,120000,119500,116900,115500,124250,120870.5,125000,127450,129900,124900,125950,128000,128000,124900,129000,129900,134900,135000,136000,137900,134500,138500,136950,134900,139900,139000,139250,144900,144900,142900,144900,144400,144500,136900,129900,130000,128000,134000,132000,129500,135000,135000,140690,147900,134900,134900,139900,139900,149000,139000,139900,143000,149900,154900,154900,159450,160000,165000,162700,159900,155000,154900,155450,162000,175000,184950,189900,189900,189900,190000,190000,186815,194900,205000,205000,219450,224900,225000,225000,234900,224900,229900,229950,229000,220750,220750,229900,227000,229000,230000,229900,219900
Sarpy County,NE,Omaha-Council Bluffs,31,153,392,168125,167350,167949.5,165000,168250,167950,169900,165000,160000,160000,160000,155900,154900,153500,159900,167000,169000,167750,164900,163500,164900,155000,147827,144900,144900,149000,155000,159900,159900,159900,155000,150000,149950,149000,144900,142000,145000,149500,159900,160000,164500,168500,175000,179900,179925,185000,180000,180000,180000,184900,189900,2.00E+05,204200,209700,209000,209925,199900,2.00E+05,205000,215000,220000,239500,239900,241240,238200,229900,225000,225000,222000,220000,219900,223450,230000,239900,250000,240000,239000,245000,243500,232500,240000,239000,240000,249000,250000,264900,265000,260000,265000,259900,259000,270000,280000,280000,284350,288047.5,282150,303487.5,291000,295450,295900,290000,288960,285000,280000,288960,295000,300507,295625,301358,308363,3.00E+05,295000,289000,289950
Hampshire County,MA,Springfield,25,15,393,259900,259900,260000,265000,265000,265000,259900,255000,252750,255000,254900,249900,249900,264900,259900,269000,269000,269900,268700,259900,259900,259000,259250,259000,255000,259000,258500,259900,259900,259000,250000,249900,249900,250000,257000,252000,248500,248900,252000,259000,259900,259950,261450,265000,259500,265000,264900,259000,250000,265000,265000,275000,275000,274000,269900,269000,264900,259700,259900,259500,249900,254950,265000,269000,269950,275000,275000,275000,269000,269000,269000,264900,269000,269500,274900,277500,279900,279900,275000,269900,265000,269900,269900,259900,269900,275000,283700,279900,285000,289000,295900,298500,298000,293250,293000,285000,289900,298900,299900,315000,319900,312000,313662.5,297750,289900,289900,295000,295000,290000,294900,309900,309900,319900,319000,310000
Deschutes County,OR,Bend-Redmond,41,17,394,269900,259000,259000,249900,254450,259000,255000,250000,249000,249000,244900,229900,224700,228950,229900,239000,250000,259900,279900,285000,289450,279700,257500,259000,262225,250000,259000,269000,279900,289500,289000,285000,285000,284900,269900,274949.5,290000,289900,295000,299000,313250,315000,324000,309950,309000,299900,299000,294900,295000,297000,299000,314900,3.00E+05,325000,335500,339000,335000,327400,335000,329900,325000,325000,335000,349900,349900,350000,359900,364500,369000,369000,365000,374900,359900,369900,374900,359950,379900,389900,399000,399000,395000,389950,389900,390000,389948.5,375000,379700,392000,399000,409950,419992.5,415000,419900,415345,415000,419990,415000,425000,425000,429950,439000,439950,439970,444970,449000,449000,447900,449900,459900,449970,469900,469500,475945,474900,468500
Wyandotte County,KS,Kansas City,20,209,395,89950,89900,90000,89950,85000,85000,84950,85000,84500,85000,85000,79950,75000,77000,75000,77500,79900,79950,76475,75000,74900,74500,70000,67500,67750,69950,74900,75000,75000,72500,75000,74950,72500,69950,69925,70000,70000,70000,77500,84900,85000,84900,84925,80000,84500,79950,80000,80000,79950,79925,84500,87000,94500,92500,94700,94995,89950,89950,89950,89000,89950,89900,87500,90000,91900,92700,95000,92750,94750,90560,89750,88500,89625,99250,105000,110000,115000,110000,105000,104450,99500,98500,95000,91890,95000,95000,99999.5,110000,110000,114900,115000,120900,129950,125000,124999.5,124900,120000,122500,122500,129950,130000,135000,135000,134900,134000,130000,129500,125000,124900,124900,129500,134700,134925,138000,139900
