YearAndMonth,Year,RegionName,Metro,State,SizeRank,Price Reduction
2010-09,2010,Cleburne,Dallas-Fort Worth-Arlington,TX,1349,6.478
2010-09,2010,Kerrville,Kerrville,TX,1352,4.878
2010-09,2010,Burleson,Dallas-Fort Worth-Arlington,TX,1360,3.775
2010-09,2010,Belton,Killeen-Temple,TX,1371,3.43
2010-09,2010,Montgomery,Houston-The Woodlands-Sugar Land,TX,1373,3.653
2010-09,2010,Duncanville,Dallas-Fort Worth-Arlington,TX,1392,4.74
2010-09,2010,Palestine,Palestine,TX,1402,6.038
2010-09,2010,Boerne,San Antonio-New Braunfels,TX,1416,4.074
2010-09,2010,Hurst,Dallas-Fort Worth-Arlington,TX,1418,4.651
2010-09,2010,Friendswood,Houston-The Woodlands-Sugar Land,TX,1427,3.5
2010-09,2010,Copperas Cove,Killeen-Temple,TX,1441,3.004
2010-09,2010,Converse,San Antonio-New Braunfels,TX,1448,4.164
2010-09,2010,Rockwall,Dallas-Fort Worth-Arlington,TX,1501,3.48
2010-09,2010,Greenville,Dallas-Fort Worth-Arlington,TX,1537,6.451
2010-09,2010,Paris,Paris,TX,1558,7.361
2010-09,2010,Big Spring,Big Spring,TX,1561,5.042
2010-09,2010,Leander,Austin-Round Rock,TX,1566,2.943
2010-09,2010,La Porte,Houston-The Woodlands-Sugar Land,TX,1668,4.121
2010-09,2010,Deer Park,Houston-The Woodlands-Sugar Land,TX,1679,4.08
2010-09,2010,Lufkin,Lufkin,TX,1721,6.406
2010-09,2010,Cibolo,San Antonio-New Braunfels,TX,1728,3.155
2010-09,2010,Terrell,Dallas-Fort Worth-Arlington,TX,1730,5.004
2010-09,2010,Porter,Houston-The Woodlands-Sugar Land,TX,1733,3.808
2010-09,2010,Kyle,Austin-Round Rock,TX,1765,3.571
2010-09,2010,Midlothian,Dallas-Fort Worth-Arlington,TX,1771,3.622
2010-09,2010,Southlake,Dallas-Fort Worth-Arlington,TX,1791,2.683
2010-09,2010,Willis,Houston-The Woodlands-Sugar Land,TX,1799,3.228
2010-09,2010,Rosenberg,Houston-The Woodlands-Sugar Land,TX,1828,4.551
2010-09,2010,Schertz,San Antonio-New Braunfels,TX,1831,3.274
2010-09,2010,Stephenville,Stephenville,TX,1908,5.609
2010-09,2010,Harker Heights,Killeen-Temple,TX,1914,3.509
2010-09,2010,Hutto,Austin-Round Rock,TX,1918,3.648
2010-09,2010,Brenham,Brenham,TX,1924,5.291
2010-09,2010,Lake Jackson,Houston-The Woodlands-Sugar Land,TX,1935,3.584
2010-09,2010,Crosby,Houston-The Woodlands-Sugar Land,TX,2007,4.628
2010-09,2010,Colleyville,Dallas-Fort Worth-Arlington,TX,2080,3.181
2010-09,2010,Bastrop,Austin-Round Rock,TX,2123,3.869
2010-09,2010,Athens,Athens,TX,2164,3.993
2010-09,2010,University Park,Dallas-Fort Worth-Arlington,TX,2166,3.619
2010-09,2010,Azle,Dallas-Fort Worth-Arlington,TX,2179,3.573
2010-09,2010,Alvin,Houston-The Woodlands-Sugar Land,TX,2307,6.82
2010-09,2010,Fredericksburg,Fredericksburg,TX,2310,4.781
2010-09,2010,Benbrook,Dallas-Fort Worth-Arlington,TX,2316,4.042
2010-09,2010,Royse City,Dallas-Fort Worth-Arlington,TX,2375,4.402
2010-09,2010,Helotes,San Antonio-New Braunfels,TX,2392,4.892
2010-09,2010,Floresville,San Antonio-New Braunfels,TX,2409,5.291
2010-09,2010,Nederland,Beaumont-Port Arthur,TX,2493,4.766
2010-09,2010,Corinth,Dallas-Fort Worth-Arlington,TX,2503,2.739
2010-09,2010,Sachse,Dallas-Fort Worth-Arlington,TX,2505,3.966
2010-09,2010,Forney,Dallas-Fort Worth-Arlington,TX,2560,4.745
2010-09,2010,Manvel,Houston-The Woodlands-Sugar Land,TX,2658,3.417
2010-09,2010,Bellaire,Houston-The Woodlands-Sugar Land,TX,2715,3.001
2010-09,2010,Buda,Austin-Round Rock,TX,2762,2.758
2010-09,2010,Marble Falls,NA,TX,2826,4.392
2010-09,2010,Lumberton,Beaumont-Port Arthur,TX,2838,3.223
2010-09,2010,Dickinson,Houston-The Woodlands-Sugar Land,TX,2842,4.964
2010-09,2010,Portland,Corpus Christi,TX,2876,4.594
2010-09,2010,Angleton,Houston-The Woodlands-Sugar Land,TX,2883,6.676
2010-09,2010,Prosper,Dallas-Fort Worth-Arlington,TX,2920,2.941
2010-09,2010,Spring Branch,San Antonio-New Braunfels,TX,2922,3.809
2010-09,2010,Dripping Springs,Austin-Round Rock,TX,2930,3.333
2010-09,2010,La Marque,Houston-The Woodlands-Sugar Land,TX,2945,5.368
2010-09,2010,Sanger,Dallas-Fort Worth-Arlington,TX,2980,2.9
2010-09,2010,Pecan Grove,Houston-The Woodlands-Sugar Land,TX,3019,3.292
2010-09,2010,Horizon City,El Paso,TX,3102,3.178
2010-09,2010,Canyon Lake,San Antonio-New Braunfels,TX,3113,5.018
2010-09,2010,Bonham,Bonham,TX,3152,7.239
2010-09,2010,Wimberley,Austin-Round Rock,TX,3185,4.315
2010-09,2010,Timberwood Park,San Antonio-New Braunfels,TX,3224,2.808
2010-09,2010,Canton,NA,TX,3255,4.586
2010-09,2010,Seabrook,Houston-The Woodlands-Sugar Land,TX,3256,5.003
2010-09,2010,Liberty Hill,Austin-Round Rock,TX,3339,3.509
2010-09,2010,Sienna Plantation,Houston-The Woodlands-Sugar Land,TX,3418,3.225
2010-09,2010,Celina,Dallas-Fort Worth-Arlington,TX,3422,5.201
2010-09,2010,Lakeway,Austin-Round Rock,TX,3452,4.125
2010-09,2010,Whitney,NA,TX,3542,7.682
2010-09,2010,Highland Park,Dallas-Fort Worth-Arlington,TX,3544,4.857
2010-09,2010,Spicewood,Austin-Round Rock,TX,3555,4.31
