SizeRank,Date,City,Value
6435,1/1/06,Dallas,134200
6442,1/1/06,Austin,170300
6473,1/1/06,Dallas,147200
6560,1/1/06,Austin,232200
6663,1/1/06,Houston,95400
6728,1/1/06,Dallas,145900
6832,1/1/06,Dallas,369500
6874,1/1/06,Houston,151400
6893,1/1/06,San Antonio,157200
6927,1/1/06,San Antonio,88900
6944,1/1/06,Dallas,153100
6961,1/1/06,Dallas,86000
7069,1/1/06,Dallas,169300
7185,1/1/06,Houston,139400
7249,1/1/06,San Antonio,429500
7298,1/1/06,Houston,70600
7325,1/1/06,Dallas,127800
7369,1/1/06,Dallas,224000
7413,1/1/06,Corpus Christi,81500
7451,1/1/06,Dallas,151900
7474,1/1/06,Dallas,1271500
7603,1/1/06,El Paso,91100
7638,1/1/06,San Antonio,364100
7814,1/1/06,Austin,137300
7835,1/1/06,Houston,108600
7990,1/1/06,San Antonio,215500
8016,1/1/06,Dallas,177500
8029,1/1/06,Dallas,251200
8055,1/1/06,Dallas,83500
8058,1/1/06,Dallas,215000
8068,1/1/06,Houston,97500
8110,1/1/06,El Paso,87600
8129,1/1/06,Austin,438700
8505,1/1/06,Dallas,63800
8571,1/1/06,Dallas,166200
8646,1/1/06,Dallas,109100
8662,1/1/06,San Antonio,300100
8684,1/1/06,Dallas,119100
8688,1/1/06,Corpus Christi,296800
8692,1/1/06,San Antonio,314800
8774,1/1/06,Austin,674600
8823,1/1/06,Dallas,74500
9024,1/1/06,Dallas,174800
9039,1/1/06,Austin,109600
9066,1/1/06,San Antonio,463700
9076,1/1/06,Dallas,156000
9110,1/1/06,Austin,99100
9167,1/1/06,Houston,115100
9482,1/1/06,San Antonio,212500
9666,1/1/06,Houston,153800
9682,1/1/06,Dallas,159000
9713,1/1/06,Houston,161900
9883,1/1/06,Austin,386500
9888,1/1/06,Houston,188700
9907,1/1/06,Dallas,109500
9932,1/1/06,Austin,109700
9995,1/1/06,Dallas,210400
10048,1/1/06,Dallas,102200
10076,1/1/06,Dallas,337700
10134,1/1/06,Dallas,89100
10153,1/1/06,Austin,322200
10188,1/1/06,Dallas,319000
10302,1/1/06,Houston,195400
10303,1/1/06,Dallas,291500
10342,1/1/06,Dallas,64200
10420,1/1/06,San Antonio,233100
10437,1/1/06,Houston,127000
10612,1/1/06,Dallas,212200
10619,1/1/06,Houston,119700
10671,1/1/06,Houston,144100
10720,1/1/06,Dallas,
10932,1/1/06,Houston,164300
10998,1/1/06,San Antonio,381000
11100,1/1/06,Austin,437300
11115,1/1/06,Houston,
11233,1/1/06,Dallas,222400
11259,1/1/06,San Antonio,521500
11277,1/1/06,Dallas,148900
11284,1/1/06,Corpus Christi,51100
11331,1/1/06,San Antonio,225000
11398,1/1/06,Dallas,83600
11502,1/1/06,Dallas,227300
11524,1/1/06,Dallas,238600
11543,1/1/06,Austin,662900
11667,1/1/06,Dallas,68600
11804,1/1/06,Dallas,147900
11834,1/1/06,Houston,149300
11880,1/1/06,Houston,160600
11993,1/1/06,Houston,220300
12016,1/1/06,Houston,150100
12084,1/1/06,Houston,113200
12185,1/1/06,Houston,164400
12256,1/1/06,Dallas,321200
12433,1/1/06,Houston,143000
12568,1/1/06,Houston,146400
12590,1/1/06,Dallas,102000
12734,1/1/06,Rio Grande City,84000
12745,1/1/06,Austin,165700
12771,1/1/06,Houston,177800
12786,1/1/06,Houston,125200
12817,1/1/06,Austin,141700
12823,1/1/06,Dallas,82900
12842,1/1/06,Dallas,153600
12873,1/1/06,Dallas,185400
12919,1/1/06,Dallas,126400
12975,1/1/06,San Antonio,162900
12987,1/1/06,Houston,95500
13016,1/1/06,Dallas,173400
13041,1/1/06,Dallas,128100
13076,1/1/06,Houston,141400
13080,1/1/06,Dallas,70600
13131,1/1/06,Austin,206900
13132,1/1/06,Houston,202100
13144,1/1/06,Austin,180800
13146,1/1/06,Dallas,138100
13165,1/1/06,Houston,373800
13181,1/1/06,Houston,89900
13184,1/1/06,Dallas,141500
13230,1/1/06,Dallas,145500
13231,1/1/06,Houston,205700
3,2/1/06,Houston,130900
5,2/1/06,San Antonio,110300
10,2/1/06,Dallas,124900
11,2/1/06,Austin,203100
17,2/1/06,Dallas,125900
22,2/1/06,El Paso,101800
50,2/1/06,Dallas,131500
66,2/1/06,Corpus Christi,109800
79,2/1/06,Dallas,203600
109,2/1/06,Dallas,117900
110,2/1/06,Houston,142100
116,2/1/06,Dallas,136400
159,2/1/06,Dallas,132300
184,2/1/06,Houston,209600
189,2/1/06,Dallas,194300
205,2/1/06,Houston,175800
206,2/1/06,Austin,177700
214,2/1/06,Houston,146400
218,2/1/06,Houston,99500
221,2/1/06,Dallas,268200
229,2/1/06,Dallas,113700
257,2/1/06,Dallas,162400
267,2/1/06,Houston,178200
269,2/1/06,Dallas,142000
321,2/1/06,Dallas,158300
345,2/1/06,Dallas,170400
371,2/1/06,Houston,237500
395,2/1/06,Houston,178200
422,2/1/06,San Antonio,164700
433,2/1/06,Dallas,199900
481,2/1/06,Austin,200900
496,2/1/06,Austin,159700
585,2/1/06,Houston,155100
590,2/1/06,Houston,175300
595,2/1/06,Houston,168300
628,2/1/06,Houston,154000
644,2/1/06,Houston,98900
652,2/1/06,Austin,138400
664,2/1/06,Dallas,235500
711,2/1/06,Austin,187700
737,2/1/06,Dallas,142300
781,2/1/06,Dallas,180000
932,2/1/06,Dallas,139400
967,2/1/06,Dallas,148300
1042,2/1/06,Dallas,206800
1048,2/1/06,Dallas,145100
1051,2/1/06,Dallas,165100
1068,2/1/06,Dallas,138900
1075,2/1/06,Houston,150300
1080,2/1/06,Dallas,152700
1100,2/1/06,Dallas,158200
1137,2/1/06,Dallas,163500
1142,2/1/06,Dallas,158700
1150,2/1/06,Houston,160200
1155,2/1/06,San Antonio,117900
1201,2/1/06,Dallas,89400
1237,2/1/06,Houston,90900
1255,2/1/06,Dallas,270000
1259,2/1/06,Dallas,264500
1301,2/1/06,Dallas,137300
1311,2/1/06,Dallas,119300
1339,2/1/06,Dallas,88500
1350,2/1/06,Dallas,135400
1365,2/1/06,Houston,211100
1383,2/1/06,Dallas,114700
1409,2/1/06,San Antonio,264600
1412,2/1/06,Dallas,136400
1422,2/1/06,Houston,209100
1444,2/1/06,San Antonio,123500
1493,2/1/06,Dallas,180900
1533,2/1/06,Dallas,82100
1650,2/1/06,Dallas,141600
1675,2/1/06,Houston,115400
1687,2/1/06,Houston,132100
1703,2/1/06,Houston,98300
1735,2/1/06,El Paso,79600
1737,2/1/06,San Antonio,176000
1739,2/1/06,Dallas,106500
1742,2/1/06,Houston,156000
1773,2/1/06,Austin,152600
1781,2/1/06,Dallas,176200
1805,2/1/06,Dallas,471400
1816,2/1/06,Houston,143600
1848,2/1/06,Houston,104900
1852,2/1/06,San Antonio,163000
1946,2/1/06,Austin,153500
1967,2/1/06,Houston,125300
1972,2/1/06,Dallas,154800
2058,2/1/06,Houston,125400
2073,2/1/06,Dallas,89500
2150,2/1/06,Dallas,368400
2201,2/1/06,Austin,127600
2258,2/1/06,Dallas,852900
2273,2/1/06,Dallas,118100
2289,2/1/06,Dallas,125400
2373,2/1/06,Dallas,101300
2425,2/1/06,Houston,113000
2434,2/1/06,Dallas,126600
2503,2/1/06,Austin,142400
2505,2/1/06,Dallas,157300
2534,2/1/06,San Antonio,181400
2554,2/1/06,San Antonio,147900
2675,2/1/06,Dallas,166500
2676,2/1/06,Dallas,190300
2707,2/1/06,San Antonio,130800
2715,2/1/06,Houston,143100
2756,2/1/06,Dallas,152800
2836,2/1/06,Austin,101000
2886,2/1/06,Houston,252900
2896,2/1/06,Houston,201100
2898,2/1/06,Austin,107200
2978,2/1/06,Dallas,255000
2980,2/1/06,Houston,571600
3002,2/1/06,Dallas,153200
3056,2/1/06,Austin,172800
3071,2/1/06,Houston,91600
3152,2/1/06,Houston,157000
3160,2/1/06,Houston,141000
3189,2/1/06,Houston,125000
3236,2/1/06,Dallas,83600
3237,2/1/06,Dallas,132800
3256,2/1/06,Corpus Christi,142800
3265,2/1/06,Houston,95100
3332,2/1/06,San Antonio,285700
3348,2/1/06,Austin,280500
3381,2/1/06,Houston,86900
3403,2/1/06,Dallas,233300
3446,2/1/06,Dallas,145200
3470,2/1/06,Houston,95300
3483,2/1/06,Corpus Christi,149000
3517,2/1/06,Houston,172300
3561,2/1/06,San Antonio,109800
3563,2/1/06,Dallas,152000
3599,2/1/06,Dallas,240400
3614,2/1/06,Dallas,97100
3701,2/1/06,El Paso,107000
3714,2/1/06,Dallas,159200
3717,2/1/06,San Antonio,155600
3786,2/1/06,Houston,111100
3805,2/1/06,Dallas,153400
3813,2/1/06,Rio Grande City,70800
3815,2/1/06,Dallas,141100
3856,2/1/06,Austin,205900
3886,2/1/06,Houston,
3946,2/1/06,Dallas,126400
3962,2/1/06,San Antonio,263300
4017,2/1/06,Austin,127000
4043,2/1/06,Dallas,86500
4059,2/1/06,San Antonio,119600
4066,2/1/06,Houston,198800
4214,2/1/06,Houston,160100
4316,2/1/06,Austin,196900
4444,2/1/06,Houston,141700
4452,2/1/06,Houston,97300
4530,2/1/06,San Antonio,267400
4556,2/1/06,Dallas,70300
4590,2/1/06,Houston,276300
4631,2/1/06,Houston,133800
4689,2/1/06,Houston,83100
4720,2/1/06,Austin,333400
4760,2/1/06,Dallas,135800
4779,2/1/06,Houston,77900
4886,2/1/06,San Antonio,164100
4991,2/1/06,Houston,183400
5064,2/1/06,San Antonio,161100
5133,2/1/06,Dallas,1075200
5139,2/1/06,Austin,160200
5144,2/1/06,Dallas,426300
5181,2/1/06,Austin,360200
5182,2/1/06,Dallas,105600
5209,2/1/06,Corpus Christi,86300
5219,2/1/06,Austin,87000
5243,2/1/06,San Antonio,150700
5339,2/1/06,Dallas,77200
5355,2/1/06,Dallas,294600
5407,2/1/06,Dallas,172500
5643,2/1/06,San Antonio,379800
5667,2/1/06,San Antonio,152200
5932,2/1/06,Rio Grande City,64200
5933,2/1/06,Dallas,288400
6008,2/1/06,Dallas,138000
6067,2/1/06,Dallas,373900
6073,2/1/06,Corpus Christi,103900
6086,2/1/06,Houston,92700
6091,2/1/06,Dallas,268600
6093,2/1/06,San Antonio,80400
6140,2/1/06,Houston,90800
6193,2/1/06,Houston,290000
6244,2/1/06,Dallas,84400
6252,2/1/06,Dallas,293600
6285,2/1/06,Dallas,165800
6416,2/1/06,Austin,432900
6435,2/1/06,Dallas,133900
6442,2/1/06,Austin,170300
6473,2/1/06,Dallas,149300
6560,2/1/06,Austin,232700
6663,2/1/06,Houston,94500
6728,2/1/06,Dallas,145900
6832,2/1/06,Dallas,371200
6874,2/1/06,Houston,151900
6893,2/1/06,San Antonio,158100
6927,2/1/06,San Antonio,91100
6944,2/1/06,Dallas,152600
6961,2/1/06,Dallas,86400
7069,2/1/06,Dallas,168400
7185,2/1/06,Houston,139600
7249,2/1/06,San Antonio,432200
7298,2/1/06,Houston,71600
7325,2/1/06,Dallas,128800
7369,2/1/06,Dallas,225500
7413,2/1/06,Corpus Christi,82100
7451,2/1/06,Dallas,152700
7474,2/1/06,Dallas,1283200
7603,2/1/06,El Paso,91700
7638,2/1/06,San Antonio,366000
7814,2/1/06,Austin,137900
7835,2/1/06,Houston,108500
7990,2/1/06,San Antonio,216300
8016,2/1/06,Dallas,178800
8029,2/1/06,Dallas,252300
8055,2/1/06,Dallas,83300
8058,2/1/06,Dallas,215900
8068,2/1/06,Houston,99700
8110,2/1/06,El Paso,88400
8129,2/1/06,Austin,440200
8505,2/1/06,Dallas,64200
8571,2/1/06,Dallas,166400
8646,2/1/06,Dallas,112700
8662,2/1/06,San Antonio,301100
8684,2/1/06,Dallas,120200
8688,2/1/06,Corpus Christi,296100
8692,2/1/06,San Antonio,316100
8774,2/1/06,Austin,677300
8823,2/1/06,Dallas,75300
9024,2/1/06,Dallas,174800
9039,2/1/06,Austin,110000
9066,2/1/06,San Antonio,466300
9076,2/1/06,Dallas,156100
9110,2/1/06,Austin,100800
9167,2/1/06,Houston,115700
9482,2/1/06,San Antonio,211600
9666,2/1/06,Houston,154300
9682,2/1/06,Dallas,158500
9713,2/1/06,Houston,161500
9883,2/1/06,Austin,392700
9888,2/1/06,Houston,185300
9907,2/1/06,Dallas,110500
9932,2/1/06,Austin,105700
9995,2/1/06,Dallas,211400
10048,2/1/06,Dallas,102100
10076,2/1/06,Dallas,340600
10134,2/1/06,Dallas,90300
10153,2/1/06,Austin,326200
10188,2/1/06,Dallas,321400
10302,2/1/06,Houston,195200
10303,2/1/06,Dallas,291900
10342,2/1/06,Dallas,64800
10420,2/1/06,San Antonio,234200
10437,2/1/06,Houston,127800
10612,2/1/06,Dallas,212400
10619,2/1/06,Houston,119500
10671,2/1/06,Houston,144700
10720,2/1/06,Dallas,
10932,2/1/06,Houston,164200
10998,2/1/06,San Antonio,384800
11100,2/1/06,Austin,439100
11115,2/1/06,Houston,
11233,2/1/06,Dallas,222700
11259,2/1/06,San Antonio,524100
11277,2/1/06,Dallas,150700
11284,2/1/06,Corpus Christi,49900
11331,2/1/06,San Antonio,225300
11398,2/1/06,Dallas,83800
11502,2/1/06,Dallas,226600
11524,2/1/06,Dallas,238400
11543,2/1/06,Austin,668900
11667,2/1/06,Dallas,66900
11804,2/1/06,Dallas,147300
11834,2/1/06,Houston,149600
11880,2/1/06,Houston,161800
11993,2/1/06,Houston,221100
12016,2/1/06,Houston,150600
12084,2/1/06,Houston,113000
12185,2/1/06,Houston,165000
12256,2/1/06,Dallas,324000
12433,2/1/06,Houston,143100
12568,2/1/06,Houston,147500
12590,2/1/06,Dallas,101500
12734,2/1/06,Rio Grande City,83900
12745,2/1/06,Austin,165400
12771,2/1/06,Houston,180700
12786,2/1/06,Houston,125300
12817,2/1/06,Austin,144000
12823,2/1/06,Dallas,82600
12842,2/1/06,Dallas,155200
12873,2/1/06,Dallas,185000
12919,2/1/06,Dallas,126100
12975,2/1/06,San Antonio,163200
12987,2/1/06,Houston,96100
13016,2/1/06,Dallas,175900
13041,2/1/06,Dallas,128700
13076,2/1/06,Houston,141500
13080,2/1/06,Dallas,70600
13131,2/1/06,Austin,207700
13132,2/1/06,Houston,202600
13144,2/1/06,Austin,183000
13146,2/1/06,Dallas,138100
13165,2/1/06,Houston,376800
13181,2/1/06,Houston,91000
13184,2/1/06,Dallas,142300
13230,2/1/06,Dallas,145800
13231,2/1/06,Houston,206900
3,3/1/06,Houston,131100
5,3/1/06,San Antonio,110900
10,3/1/06,Dallas,125200
11,3/1/06,Austin,203400
17,3/1/06,Dallas,126000
22,3/1/06,El Paso,102700
50,3/1/06,Dallas,132000
66,3/1/06,Corpus Christi,110300
79,3/1/06,Dallas,204200
109,3/1/06,Dallas,118200
110,3/1/06,Houston,142100
116,3/1/06,Dallas,136900
159,3/1/06,Dallas,132400
184,3/1/06,Houston,209600
189,3/1/06,Dallas,195400
205,3/1/06,Houston,175700
206,3/1/06,Austin,177800
214,3/1/06,Houston,146500
218,3/1/06,Houston,99500
221,3/1/06,Dallas,269100
229,3/1/06,Dallas,114000
257,3/1/06,Dallas,162900
267,3/1/06,Houston,178600
269,3/1/06,Dallas,141900
321,3/1/06,Dallas,158600
345,3/1/06,Dallas,171200
371,3/1/06,Houston,238000
395,3/1/06,Houston,178900
422,3/1/06,San Antonio,164800
433,3/1/06,Dallas,200500
481,3/1/06,Austin,203200
496,3/1/06,Austin,159800
585,3/1/06,Houston,155300
590,3/1/06,Houston,175300
595,3/1/06,Houston,168500
628,3/1/06,Houston,154300
644,3/1/06,Houston,99500
652,3/1/06,Austin,138800
664,3/1/06,Dallas,236900
711,3/1/06,Austin,187600
737,3/1/06,Dallas,142600
781,3/1/06,Dallas,181400
932,3/1/06,Dallas,139600
967,3/1/06,Dallas,148500
1042,3/1/06,Dallas,207200
1048,3/1/06,Dallas,145400
1051,3/1/06,Dallas,164700
1068,3/1/06,Dallas,138900
1075,3/1/06,Houston,151500
1080,3/1/06,Dallas,153200
1100,3/1/06,Dallas,159400
1137,3/1/06,Dallas,163800
1142,3/1/06,Dallas,159500
1150,3/1/06,Houston,161100
1155,3/1/06,San Antonio,118200
1201,3/1/06,Dallas,89900
1237,3/1/06,Houston,91300
1255,3/1/06,Dallas,271500
1259,3/1/06,Dallas,265500
1301,3/1/06,Dallas,137700
1311,3/1/06,Dallas,118400
1339,3/1/06,Dallas,89000
1350,3/1/06,Dallas,136000
1365,3/1/06,Houston,211400
1383,3/1/06,Dallas,114900
1409,3/1/06,San Antonio,264500
1412,3/1/06,Dallas,136800
1422,3/1/06,Houston,209000
1444,3/1/06,San Antonio,123800
1493,3/1/06,Dallas,181300
1533,3/1/06,Dallas,82300
1650,3/1/06,Dallas,141900
1675,3/1/06,Houston,115900
1687,3/1/06,Houston,132200
1703,3/1/06,Houston,98400
1735,3/1/06,El Paso,80100
1737,3/1/06,San Antonio,176000
1739,3/1/06,Dallas,106300
1742,3/1/06,Houston,157200
1773,3/1/06,Austin,152800
1781,3/1/06,Dallas,176100
1805,3/1/06,Dallas,474700
1816,3/1/06,Houston,143800
1848,3/1/06,Houston,105500
1852,3/1/06,San Antonio,163700
1946,3/1/06,Austin,153400
1967,3/1/06,Houston,125700
1972,3/1/06,Dallas,154300
2058,3/1/06,Houston,126000
2073,3/1/06,Dallas,89500
2150,3/1/06,Dallas,370200
2201,3/1/06,Austin,128300
2258,3/1/06,Dallas,856900
2273,3/1/06,Dallas,119000
2289,3/1/06,Dallas,125900
2373,3/1/06,Dallas,101600
2425,3/1/06,Houston,113500
2434,3/1/06,Dallas,126900
2503,3/1/06,Austin,142800
2505,3/1/06,Dallas,157400
2534,3/1/06,San Antonio,181700
2554,3/1/06,San Antonio,147900
2675,3/1/06,Dallas,166700
2676,3/1/06,Dallas,191300
2707,3/1/06,San Antonio,131200
2715,3/1/06,Houston,143300
2756,3/1/06,Dallas,153200
2836,3/1/06,Austin,101500
2886,3/1/06,Houston,252700
2896,3/1/06,Houston,201900
2898,3/1/06,Austin,107700
2978,3/1/06,Dallas,257400
2980,3/1/06,Houston,572700
3002,3/1/06,Dallas,155100
3056,3/1/06,Austin,174500
3071,3/1/06,Houston,92000
3152,3/1/06,Houston,156500
3160,3/1/06,Houston,141200
3189,3/1/06,Houston,125500
3236,3/1/06,Dallas,83500
3237,3/1/06,Dallas,133100
3256,3/1/06,Corpus Christi,143200
3265,3/1/06,Houston,95300
3332,3/1/06,San Antonio,287800
3348,3/1/06,Austin,282900
3381,3/1/06,Houston,87400
3403,3/1/06,Dallas,233800
3446,3/1/06,Dallas,146300
3470,3/1/06,Houston,95600
3483,3/1/06,Corpus Christi,149500
3517,3/1/06,Houston,172800
3561,3/1/06,San Antonio,110400
3563,3/1/06,Dallas,151600
3599,3/1/06,Dallas,243300
3614,3/1/06,Dallas,97200
3701,3/1/06,El Paso,107900
3714,3/1/06,Dallas,159400
3717,3/1/06,San Antonio,155900
3786,3/1/06,Houston,111600
3805,3/1/06,Dallas,153600
3813,3/1/06,Rio Grande City,70000
3815,3/1/06,Dallas,141400
3856,3/1/06,Austin,206300
3886,3/1/06,Houston,
3946,3/1/06,Dallas,126500
3962,3/1/06,San Antonio,264000
4017,3/1/06,Austin,127600
4043,3/1/06,Dallas,86300
4059,3/1/06,San Antonio,121100
4066,3/1/06,Houston,199800
4214,3/1/06,Houston,160300
4316,3/1/06,Austin,197000
4444,3/1/06,Houston,142300
4452,3/1/06,Houston,97500
4530,3/1/06,San Antonio,272300
4556,3/1/06,Dallas,70600
4590,3/1/06,Houston,277400
4631,3/1/06,Houston,134700
4689,3/1/06,Houston,83700
4720,3/1/06,Austin,334100
4760,3/1/06,Dallas,135800
4779,3/1/06,Houston,78100
4886,3/1/06,San Antonio,164400
4991,3/1/06,Houston,182900
5064,3/1/06,San Antonio,162700
5133,3/1/06,Dallas,1082800
5139,3/1/06,Austin,160000
5144,3/1/06,Dallas,428900
5181,3/1/06,Austin,360900
5182,3/1/06,Dallas,106200
5209,3/1/06,Corpus Christi,86700
5219,3/1/06,Austin,87400
5243,3/1/06,San Antonio,150900
5339,3/1/06,Dallas,78100
5355,3/1/06,Dallas,295900
5407,3/1/06,Dallas,172500
5643,3/1/06,San Antonio,382200
5667,3/1/06,San Antonio,154300
5932,3/1/06,Rio Grande City,63900
5933,3/1/06,Dallas,290500
6008,3/1/06,Dallas,138200
6067,3/1/06,Dallas,374400
6073,3/1/06,Corpus Christi,103900
6086,3/1/06,Houston,93200
6091,3/1/06,Dallas,269900
6093,3/1/06,San Antonio,80900
6140,3/1/06,Houston,90800
6193,3/1/06,Houston,288600
6244,3/1/06,Dallas,84400
6252,3/1/06,Dallas,295400
6285,3/1/06,Dallas,165100
6416,3/1/06,Austin,435400
6435,3/1/06,Dallas,133500
6442,3/1/06,Austin,170700
6473,3/1/06,Dallas,151100
6560,3/1/06,Austin,233700
6663,3/1/06,Houston,93300
6728,3/1/06,Dallas,145900
6832,3/1/06,Dallas,375000
6874,3/1/06,Houston,152100
6893,3/1/06,San Antonio,159300
6927,3/1/06,San Antonio,92900
6944,3/1/06,Dallas,152700
6961,3/1/06,Dallas,86600
7069,3/1/06,Dallas,167700
7185,3/1/06,Houston,139700
7249,3/1/06,San Antonio,434800
7298,3/1/06,Houston,72400
7325,3/1/06,Dallas,129700
7369,3/1/06,Dallas,226900
7413,3/1/06,Corpus Christi,82700
7451,3/1/06,Dallas,153700
7474,3/1/06,Dallas,1297300
