Pivot1 Names,RegionName,SizeRank,Pivot1 Values
2010-04,"Stockton, CA",45,
2010-04,"Colorado Springs, CO",46,
2010-04,"Wichita, KS",47,
2010-04,"Ogden, UT",48,
2010-04,"Augusta, GA",49,
2010-04,"Spokane, WA",50,
2010-04,"Anchorage, AK",51,
2010-04,"Glenwood Springs, CO",52,
2010-05,United States,0,
2010-05,"Los Angeles-Long Beach-Anaheim, CA",1,
2010-05,"Dallas-Fort Worth, TX",2,
2010-05,"Houston, TX",3,
2010-05,"Washington, DC",4,
2010-05,"Miami-Fort Lauderdale, FL",5,
2010-05,"Atlanta, GA",6,
2010-05,"Boston, MA",7,
2010-05,"San Francisco, CA",8,
2010-05,"Riverside, CA",9,2700
2010-05,"Seattle, WA",10,
2010-05,"Minneapolis-St Paul, MN",11,
2010-05,"San Diego, CA",12,
2010-05,"Tampa, FL",13,
2010-05,"Denver, CO",14,
2010-05,"Pittsburgh, PA",15,
2010-05,"Portland, OR",16,
2010-05,"Charlotte, NC",17,2497.5
2010-05,"Sacramento, CA",18,
2010-05,"San Antonio, TX",19,
2010-05,"Orlando, FL",20,
2010-05,"Cleveland, OH",21,
2010-05,"Kansas City, MO",22,
2010-05,"Las Vegas, NV",23,
2010-05,"San Jose, CA",24,
2010-05,"Austin, TX",25,
2010-05,"Virginia Beach, VA",26,
2010-05,"Nashville, TN",27,
2010-05,"Providence, RI",28,
2010-05,"Milwaukee, WI",29,
2010-05,"Jacksonville, FL",30,
2010-05,"Memphis, TN",31,
2010-05,"Oklahoma City, OK",32,
2010-05,"Hartford, CT",33,
2010-05,"Richmond, VA",34,
2010-05,"Buffalo, NY",35,
2010-05,"Salt Lake City, UT",36,
2010-05,"Rochester, NY",37,
2010-05,"Urban Honolulu, HI",38,
2010-05,"Worcester, MA",39,
2010-05,"Albany, NY",40,
2010-05,"New Haven, CT",41,950
2010-05,"Ventura, CA",42,
2010-05,"Allentown, PA",43,
2010-05,"Columbia, SC",44,
2010-05,"Stockton, CA",45,
2010-05,"Colorado Springs, CO",46,
2010-05,"Wichita, KS",47,
2010-05,"Ogden, UT",48,
2010-05,"Augusta, GA",49,
2010-05,"Spokane, WA",50,
2010-05,"Anchorage, AK",51,
2010-05,"Glenwood Springs, CO",52,
2010-06,United States,0,
2010-06,"Los Angeles-Long Beach-Anaheim, CA",1,
2010-06,"Dallas-Fort Worth, TX",2,
2010-06,"Houston, TX",3,
2010-06,"Washington, DC",4,
2010-06,"Miami-Fort Lauderdale, FL",5,
2010-06,"Atlanta, GA",6,
2010-06,"Boston, MA",7,
2010-06,"San Francisco, CA",8,
2010-06,"Riverside, CA",9,2600
2010-06,"Seattle, WA",10,
2010-06,"Minneapolis-St Paul, MN",11,
2010-06,"San Diego, CA",12,
2010-06,"Tampa, FL",13,
2010-06,"Denver, CO",14,
2010-06,"Pittsburgh, PA",15,
2010-06,"Portland, OR",16,
2010-06,"Charlotte, NC",17,2300
2010-06,"Sacramento, CA",18,
2010-06,"San Antonio, TX",19,
2010-06,"Orlando, FL",20,
2010-06,"Cleveland, OH",21,
2010-06,"Kansas City, MO",22,
2010-06,"Las Vegas, NV",23,
2010-06,"San Jose, CA",24,
2010-06,"Austin, TX",25,
2010-06,"Virginia Beach, VA",26,
2010-06,"Nashville, TN",27,
2010-06,"Providence, RI",28,
2010-06,"Milwaukee, WI",29,
2010-06,"Jacksonville, FL",30,
2010-06,"Memphis, TN",31,
2010-06,"Oklahoma City, OK",32,
2010-06,"Hartford, CT",33,
2010-06,"Richmond, VA",34,
2010-06,"Buffalo, NY",35,
2010-06,"Salt Lake City, UT",36,
2010-06,"Rochester, NY",37,
2010-06,"Urban Honolulu, HI",38,
2010-06,"Worcester, MA",39,
2010-06,"Albany, NY",40,
2010-06,"New Haven, CT",41,962.5
2010-06,"Ventura, CA",42,
2010-06,"Allentown, PA",43,
2010-06,"Columbia, SC",44,
2010-06,"Stockton, CA",45,
2010-06,"Colorado Springs, CO",46,
2010-06,"Wichita, KS",47,
2010-06,"Ogden, UT",48,
2010-06,"Augusta, GA",49,
2010-06,"Spokane, WA",50,
2010-06,"Anchorage, AK",51,
2010-06,"Glenwood Springs, CO",52,
2010-07,United States,0,
2010-07,"Los Angeles-Long Beach-Anaheim, CA",1,
2010-07,"Dallas-Fort Worth, TX",2,
2010-07,"Houston, TX",3,
2010-07,"Washington, DC",4,3500
2010-07,"Miami-Fort Lauderdale, FL",5,
2010-07,"Atlanta, GA",6,
2010-07,"Boston, MA",7,
2010-07,"San Francisco, CA",8,
2010-07,"Riverside, CA",9,2500
2010-07,"Seattle, WA",10,
2010-07,"Minneapolis-St Paul, MN",11,
2010-07,"San Diego, CA",12,
2010-07,"Tampa, FL",13,
2010-07,"Denver, CO",14,
2010-07,"Pittsburgh, PA",15,
2010-07,"Portland, OR",16,
2010-07,"Charlotte, NC",17,2147.5
2010-07,"Sacramento, CA",18,
2010-07,"San Antonio, TX",19,
2010-07,"Orlando, FL",20,
2010-07,"Cleveland, OH",21,
2010-07,"Kansas City, MO",22,
2010-07,"Las Vegas, NV",23,1925
2010-07,"San Jose, CA",24,
2010-07,"Austin, TX",25,
2010-07,"Virginia Beach, VA",26,
2010-07,"Nashville, TN",27,
2010-07,"Providence, RI",28,
2010-07,"Milwaukee, WI",29,
2010-07,"Jacksonville, FL",30,
2010-07,"Memphis, TN",31,
2010-07,"Oklahoma City, OK",32,
2010-07,"Hartford, CT",33,
2010-07,"Richmond, VA",34,
2010-07,"Buffalo, NY",35,
2010-07,"Salt Lake City, UT",36,
2010-07,"Rochester, NY",37,
2010-07,"Urban Honolulu, HI",38,
2010-07,"Worcester, MA",39,
2010-07,"Albany, NY",40,
2010-07,"New Haven, CT",41,1000
2010-07,"Ventura, CA",42,
2010-07,"Allentown, PA",43,
