SizeRank,City,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08
3,Houston,130800,130900,131100,131500,131800,132200,132600,133000,133500,134000,134400,134800,135200,135300,135500,135700,136000,136300,136700,137100,137400,137600,137600,137400,136900,136100,135200,134500,133700,132900,132100,131600,131200,130900,130600,130300,130100,129700,129400,129100,128700,128200,128000,128100,128300,128500,128700,129000,129100,129300,129000,128500,128100,128000,127600,126700,126000,125500,124800,123900,123400,123100,122900,122800,122800,122700,122200,121500,120900,120700,120700,120400,120200,120100,120000,119900,120100,120400,121000,121900,122100,121700,121400,121600,122000,122500,122900,123000,123200,123800,124500,125300,126200,127000,127800,128600,129000,129200,130100,131300,132400,133100,133900,134600,135700,137000,138200,139200,140200,141100,142200,143600,144700,145400,146200,147100,148000,148900,149700,150800,152100,153300,154500,155800,157300,159400,161500,163400,164900,166300,167700,169100,170400,171300,172400,173800,174700,174900,175000,175400,176400,177500,178300,179100,180600,182100,183500,184800,186000,186700,187600,188600,189400,190200,191100,192400,193800,195200,195300,194300,194100,195600,196900,197200
5,San Antonio,109900,110300,110900,111500,112200,113000,113700,114500,115300,116300,117400,118500,119500,120500,121400,122400,123500,124700,125900,126900,127800,128600,129200,129600,129600,129300,128600,127700,126600,125800,125100,124500,124000,123600,123200,123000,122800,122600,122300,121800,121300,120900,120600,120200,119900,119700,119700,119800,120100,120100,120500,121100,121600,121500,121000,120700,120400,120100,119600,118800,118200,117800,117500,117200,117100,117000,117000,117500,117800,117600,117300,117200,116800,116600,116800,117000,117000,117100,117300,117400,117400,117500,117700,118000,118200,118400,118600,118800,119100,119500,119700,120000,120300,121000,121600,122000,122300,122600,123000,123300,123700,124400,125200,125800,126300,127000,127700,128500,129300,130000,130600,131400,132100,133000,134000,134900,135700,136500,137200,138000,138800,139500,140100,140900,141700,142400,143200,144200,145200,145900,146800,148000,149300,150700,152000,153600,155200,156400,157100,157800,158700,159800,160700,161500,163100,165000,166600,167400,168000,168900,169900,170800,172000,173300,174300,175600,176700,177600,177700,177400,177400,178300,179000,179100
10,Dallas,124700,124900,125200,125600,125900,126000,126100,126000,126000,126100,126200,126100,126100,126100,126300,126600,126900,127200,127600,127900,128200,128400,128400,128000,127200,126000,124800,123500,122400,121500,120700,119900,119200,118600,118000,117400,116900,116400,115900,115400,114700,113900,113300,112900,112500,112200,112000,111800,111700,112000,111800,110900,110200,110000,109400,109100,109100,108900,108500,108100,107700,107100,106500,105900,105200,104700,104500,104100,103400,102600,102100,101900,101600,101300,101000,101000,101300,101400,101200,100900,100500,100500,100600,100600,100600,101000,101500,102400,103300,104400,105500,106500,107300,108000,108700,109400,110000,110400,110900,111400,111700,111900,112400,113400,114200,114900,115800,117000,117800,118200,119000,120000,121000,121900,122600,123300,124300,125400,126300,127000,127400,128100,129600,132000,134800,137700,140900,144100,147400,150900,154000,156800,159900,163300,167200,171200,174300,176000,177400,179600,182500,184500,185400,186400,188600,191500,194100,196800,200200,203100,205300,207300,208900,210800,214200,219300,224600,228900,229100,225900,223200,223400,223800,223600
11,Austin,202900,203100,203400,203800,204500,205300,206500,207900,209200,210300,211200,212100,213000,214000,214900,215900,216900,217900,218900,219900,220900,221800,222600,223000,223400,223800,224100,224200,224400,224700,224800,224600,224300,224100,223900,223600,223500,223600,223600,223500,223300,223000,222900,223000,223400,224000,224600,225100,225600,225800,225900,225600,225000,224300,223500,222700,221900,220900,220300,219600,218500,217300,216700,216700,216900,216700,216200,215500,215300,215600,216300,217700,219200,220200,220800,221500,222100,222800,224100,226100,227600,228700,229900,231100,232300,233700,234900,236000,237300,239000,240800,242500,244500,246500,247900,248800,249900,251000,252000,253700,255600,257600,260000,262800,265300,267000,268700,270700,272700,274700,277500,280600,283800,286600,289000,291100,292800,293900,294800,296200,297800,299500,301800,304900,307600,309900,312100,314500,316900,319400,321400,322900,324600,326400,328000,329900,332400,335100,336900,337400,337700,339200,342200,345800,350000,354400,357500,359000,359900,361100,362900,365000,367200,370100,373200,375200,376700,379400,381500,381300,381300,382500,383400,383600
17,Dallas,125700,125900,126000,126200,126400,126800,127100,127500,127800,128000,128300,128600,128700,128700,128600,128600,128700,129000,129200,129500,129800,130100,130200,130000,129400,128600,127700,126800,125900,125100,124500,124000,123700,123400,123200,123000,122800,122600,122300,122000,121600,121200,121000,121000,121000,121200,121400,121500,121600,121800,121700,121400,121100,121000,120800,120500,120100,119600,118700,118200,117900,117500,116700,115900,115100,114400,113800,113400,113200,112900,112500,111800,111300,110900,111200,112100,113100,113300,113300,113300,113000,112800,113200,113700,114100,114800,115200,115400,115700,116700,117600,118300,118800,119200,119800,120500,120700,120800,121600,122600,123200,123700,124500,125200,126000,127000,127900,128400,129100,129900,130700,131400,132100,132900,133800,134800,135900,137000,137800,138500,139500,140600,141700,143000,144400,145600,146600,147800,149300,150900,152300,153900,155600,157100,158900,160900,163200,165400,167700,169500,170700,172100,173900,175600,177700,180200,181700,182300,183300,184700,185800,187000,188700,190800,192600,194600,196500,197600,197800,197800,197700,197800,198200,198800
22,El Paso,101000,101800,102700,103800,105100,106400,107900,109400,111000,112500,113900,115100,116400,117700,119200,120900,122800,124500,126100,127300,128200,128700,128800,128600,128000,127000,126000,125000,124000,123100,122400,121700,121200,120800,120500,120200,120000,119900,119600,119300,118800,118400,118100,118000,118100,118300,118500,118600,118900,119100,119100,118700,118400,118500,118500,118300,118200,118200,118200,118300,118300,118100,117700,117700,117600,117100,116600,116200,115800,115300,114900,114700,114400,114300,114300,114300,114600,115000,115100,115200,115400,115400,115400,115300,115400,115400,115400,115300,115200,115000,115000,114700,114400,114300,114200,113900,113900,114200,114600,114700,114500,114600,114900,115300,115200,114900,114800,114900,114800,114700,114700,115000,115300,115300,115000,114800,114800,114900,115200,115400,115400,115100,114900,114900,114700,114400,114500,114600,115000,115700,116300,116800,117300,117700,118100,118800,119500,120000,120400,120800,121300,121700,121800,121800,121900,122200,122700,123100,123700,124400,124900,125400,126200,126800,127400,128200,128900,129300,129500,129300,129300,129900,130400,130700
50,Dallas,131100,131500,132000,132500,133000,133600,134000,134300,134500,134700,135000,135200,135300,135300,135400,135400,135400,135600,135800,136100,136600,137000,137200,137100,136600,135800,134900,133900,133000,132200,131500,130900,130400,130100,129900,129700,129500,129300,129000,128600,128100,127700,127600,127700,127900,128100,128300,128300,128400,128700,129000,128800,128800,128900,128800,128500,127900,127100,126000,125400,125200,124700,123900,123500,123000,122500,122200,122300,122500,122400,122200,121900,121200,120600,120700,121300,121800,121900,121700,121300,121000,120900,121200,121600,122300,123000,123600,124000,124700,125400,126000,126700,127400,127900,128700,129400,129800,130200,131100,131900,132300,132900,133900,134700,135500,136300,137200,137900,138500,139000,139700,140700,141600,142600,143800,145200,146300,147400,148500,149600,150800,152200,153600,155200,156900,158900,160600,162300,164200,166300,167900,169600,171400,173100,174400,175900,177300,178700,180100,181500,182700,183900,185200,186600,188600,191100,192900,193900,195300,196700,197800,198700,200000,202000,204300,206600,208700,210000,210200,209700,209800,210800,211700,212300
66,Corpus Christi,109400,109800,110300,110800,111400,112000,112500,113100,113700,114400,115200,116100,117000,117900,118800,119700,120400,121100,121800,122600,123400,124100,124800,125400,125800,125900,125800,125500,125100,124500,123800,123200,122700,122200,121800,121400,120900,120400,119900,119400,119000,118400,117900,117500,117300,117100,117100,116900,116700,116600,116600,116300,116000,116100,116300,116200,115900,115300,114300,113200,112500,112200,111900,111600,111600,111900,111800,111200,110800,110800,110900,111000,111300,111500,111700,111900,112100,112500,113300,114100,114800,115300,115900,116700,117600,118200,118500,118600,118600,118400,118300,118200,118200,118400,118700,118500,118300,118600,119100,119700,120500,121000,121400,122100,122700,123200,123900,124900,125600,125600,125800,126500,127700,128400,128800,129300,130100,130800,131100,131100,131500,132400,133400,134200,134700,135000,135600,136600,137100,137400,138200,139100,139800,140700,141600,142000,141900,141900,141800,141900,142600,143100,143500,144200,144400,143800,143900,144800,145900,147100,148200,148300,148400,148900,149200,149500,150400,150900,150400,149300,148400,147900,147700,148000
79,Dallas,203000,203600,204200,205000,205700,206500,207100,207700,208300,208700,208900,209000,209100,209000,208800,208700,208700,208900,209100,209500,209900,210300,210400,210300,209700,208900,208000,207200,206600,206100,205700,205400,205000,204700,204500,204700,204900,205000,204900,204600,204300,204000,204100,204200,204300,204500,204700,205000,205400,205800,206200,206200,205900,205500,205400,205000,204600,204400,204300,203600,202500,202000,201900,201700,202100,202300,201900,201500,201300,201500,201900,202400,203100,204000,204800,205400,206000,206400,207100,207800,208400,208800,209200,209600,210000,210100,210500,211700,213800,215800,217700,219700,222300,224700,226200,227300,228800,230200,231000,231400,231200,231300,232500,234300,235900,237500,239300,242100,244700,247000,249700,252900,255500,257700,259900,261800,263300,264400,265800,267400,269100,271300,274200,277500,281100,285100,289000,291900,293800,295300,297000,299400,301600,302800,304100,306500,308900,310500,312700,315900,319100,321300,322400,323200,325400,329000,332300,334400,336000,336600,335400,333700,333400,334700,337200,340400,343000,344600,343500,340600,338800,339600,339600,338600
109,Dallas,117700,117900,118200,118600,119000,119300,119500,119700,119900,120100,120300,120500,120700,120900,121100,121500,121900,122300,122800,123300,123700,124100,124200,124100,123600,122700,121600,120400,119300,118200,117400,116800,116400,116000,115600,115200,115000,114800,114500,114000,113400,112800,112300,112100,112100,112100,112100,112100,112000,112200,112300,112100,112000,112100,111700,111400,111100,110500,109800,109000,108400,107700,107200,107000,106500,105800,105200,104600,103900,103500,103300,103200,103200,103100,103100,102900,103000,103700,104700,105400,105700,105900,106400,106900,107000,106800,107000,107500,108400,109200,109500,109600,110000,110600,111200,111500,111700,112100,112700,113500,114300,114900,115900,117200,118300,118900,119500,120200,121300,122500,123800,124900,125500,125900,126400,127100,127900,128900,129800,130900,132000,133100,134700,136900,139100,141500,144200,146700,149100,151500,153500,155600,158100,160500,163000,166200,168900,170200,171100,172600,174500,176600,178400,180100,182100,184100,185300,186500,188400,190300,191700,193000,194400,196100,198500,202000,205500,208200,208100,205400,203200,203300,204300,205100
110,Houston,142100,142100,142100,142200,142300,142500,142900,143400,143900,144400,144900,145300,145600,145800,146100,146500,147100,147600,148200,148700,149100,149400,149500,149400,148900,148300,147600,146900,146100,145400,144900,144400,144000,143500,143100,142700,142400,142000,141500,141100,140500,140000,139600,139500,139400,139300,139200,139100,139200,139200,139000,138700,138600,138800,139000,138800,138600,138300,137900,137600,137400,137200,136900,136600,136100,135200,133900,132700,132000,131700,131600,131500,131500,131600,131700,131800,132000,132600,133500,134300,134500,134300,134500,134700,135000,135600,136400,137300,138400,139500,140400,141300,142300,143200,143900,144800,145500,145900,146600,147500,148200,148900,149900,150900,152100,153400,155100,156600,157800,158900,160700,162800,164500,166100,167600,169100,170200,171100,171800,172400,173200,174000,174500,175200,175900,176500,176700,177000,177600,178000,178400,178600,178600,179000,179500,179600,179600,179900,180100,180500,181100,182000,182700,183200,184100,185200,185800,186200,186800,187100,187700,188700,189700,190300,190900,191900,193300,194100,194200,194200,194600,195500,196400,196900
116,Dallas,136000,136400,136900,137400,137700,137800,138100,138400,138700,139000,139100,138900,138600,138100,137800,137800,137900,138000,138300,138500,138700,138900,138800,138600,138100,137000,135800,134700,133600,132600,131900,131300,130900,130400,129800,129500,129300,129000,128700,128500,128000,127400,127000,126800,126600,126300,126000,125400,125100,125800,125500,124200,124100,124500,124000,123200,122800,122500,122100,121500,120700,120100,119800,119600,119200,118600,117900,117100,116600,116600,117100,118000,118700,118800,118900,119100,119200,119300,119800,120500,120600,120500,120400,120300,120000,120000,120400,120900,121100,121500,122300,122900,123600,124400,125000,125200,125200,125400,125900,126800,127800,128600,129400,130400,130900,130800,130700,131200,132100,132900,134000,135000,135600,135900,135900,135900,136500,137400,138500,139700,140500,140900,141500,143100,145400,148400,152100,155900,160000,164000,167200,170000,172700,174900,177200,179800,182000,183200,183900,185200,186900,188000,188400,188700,190500,193000,195300,197800,200600,203300,205600,207100,208500,210800,214100,218700,223400,226900,228000,226900,225200,224800,225300,226000
159,Dallas,132400,132300,132400,132800,133300,133600,134000,134300,134600,135000,135300,135500,135600,135500,135600,135700,135800,135900,136100,136200,136300,136200,136100,135700,135000,134100,133100,132100,131100,130100,129400,128900,128500,128200,127900,127600,127300,127000,126700,126400,125800,125200,124900,124700,124600,124600,124600,124500,124600,124800,124200,123000,122400,122300,121900,121600,121200,120500,120000,119700,119500,119500,119500,119800,119800,119500,118700,118100,117600,117100,116400,115700,115200,114800,114900,115500,116100,116300,116200,116200,116400,116800,117300,118000,118600,118800,119000,119300,119800,120800,122100,123100,123800,124300,124800,125300,125400,125300,125600,125900,126000,126000,126400,127100,127900,128800,129800,130900,131700,132400,133500,134900,136000,136900,137900,139000,140200,141600,142800,143500,144200,144900,145800,147000,148600,150800,153000,154800,156700,158400,159900,161400,163400,165900,168500,171000,173100,174800,176500,178200,180100,182100,183600,184700,186500,188800,190500,192200,194100,195600,196500,197100,198100,199700,202200,205800,209600,212300,213200,212800,212000,211900,212900,214000
184,Houston,209600,209600,209600,209900,210400,211000,211700,212400,213200,214000,214800,215600,216400,217200,218000,218700,219400,220000,220600,221200,221800,222300,222400,222300,221900,221000,219700,218200,216600,215200,214300,214100,214300,214400,214400,214700,215100,215600,216100,216500,216700,216700,216800,217100,217900,218800,219500,220200,220800,221200,221600,221900,221900,221600,221600,221500,220800,220300,220200,219800,219500,219900,220400,221000,222000,222000,221400,220900,220200,219800,220000,220400,220700,220200,218900,217800,217700,217900,218200,218000,217700,217300,216700,216100,215400,215300,215800,216500,217800,220500,223300,225700,227900,229900,231800,233800,235700,237500,239300,240200,240900,242600,245200,247300,248800,250600,252500,254300,255500,256900,258700,261000,263000,264800,266500,268100,270100,272000,273600,275600,277600,279100,281300,284600,287500,288600,288700,289700,291200,291900,292200,292900,293600,293500,292900,293000,293100,292700,292600,292800,292700,292200,291800,291600,293000,296100,298700,299800,300400,300700,300800,301300,302400,303100,303600,304500,305700,306100,306300,306700,306600,305600,303700,302100
189,Dallas,193100,194300,195400,196100,196700,197200,197700,198400,199300,200300,201100,201700,202100,202400,202700,202900,203400,204000,204500,205000,205400,205800,206100,206000,205800,205200,204200,202800,201500,200300,199400,198700,198200,197500,196800,196000,195200,194500,193900,193200,192500,192200,192000,192000,192100,192200,192300,192500,192700,192500,192700,193600,193800,193500,193500,193300,193000,193100,193400,193500,193500,193700,193600,193100,192700,192800,192700,192700,192600,192500,192400,192600,192900,193300,193600,194300,195200,195400,195400,195700,196000,196300,197000,197600,198000,198500,199400,200500,201900,203300,205000,206800,208900,211100,213100,215100,217300,219700,221800,223400,225300,227600,229900,232000,233800,235200,236400,238100,239700,240800,242300,245100,247900,250700,253900,257100,259600,261500,263000,263800,265000,266900,269700,272300,274800,277400,279900,281500,282900,284500,285800,287700,290000,291900,292900,293900,295100,296000,297000,299200,302300,304300,305700,307000,308900,310900,312400,313900,315400,315800,314800,312900,311300,311200,312400,314200,315500,316000,315400,313900,312600,312300,311800,311200
205,Houston,175800,175800,175700,175800,176200,176900,177800,179000,180100,181200,182300,183500,184600,185500,186500,187400,188200,188900,189500,190100,190700,191200,191500,191300,190500,189200,187700,186500,185600,184900,184500,184400,184200,184000,183800,183500,183300,182900,182700,182600,182500,182300,182300,182500,182700,182800,182800,182800,182800,182700,182200,181700,181500,181600,181400,181000,180700,180300,179500,179000,178800,178600,178900,179300,179400,179100,178400,177400,176700,176500,176700,176300,175500,175600,176000,175800,175800,176200,177200,177900,178200,178300,178700,179300,180200,181400,182200,182900,184100,185600,187000,188400,189600,190700,191600,192400,193100,193700,194500,195700,197300,198900,200400,201900,203500,205100,206900,208700,210400,211600,213400,215900,217800,219500,221600,224000,226300,228200,229300,230400,231900,233200,234100,235000,236200,237100,237400,237800,238200,238300,238200,238400,238400,238500,239100,239800,240100,240300,240700,241200,241900,242900,244200,245200,245800,246200,246900,247900,248500,248300,248200,248100,247800,247900,248600,250000,252100,253800,253900,253400,253400,253700,253500,253300
206,Austin,177700,177700,177800,178200,178700,179500,180300,181200,182200,183300,184700,186300,188000,189300,190100,190600,191000,191400,191900,192500,193300,194000,194600,194700,194200,193400,192400,191500,191100,190900,190700,190600,190700,190600,190500,190200,189800,189500,189200,188800,188600,188300,188200,188100,188100,187900,187500,187100,186700,186500,186700,187000,186900,186500,186000,185600,185800,186100,185500,184600,184400,184500,184200,183500,183200,183300,183500,183300,182400,181400,181200,181700,182000,182300,183000,183900,184700,185200,185500,185700,185800,186200,187200,188200,188900,189200,189300,189400,189700,190300,191300,192600,193700,195200,196400,197500,198300,199000,199800,200900,202300,204100,206300,208900,211800,214200,215900,217400,219300,221300,223600,226100,228700,230600,231800,233000,234200,235100,236000,237700,239500,240800,241900,243300,245200,247700,250200,252200,254000,255100,256200,256900,257300,258200,260000,261400,262100,261700,260800,259500,258700,259200,260200,261000,262200,263900,265300,266400,267700,269400,270900,272400,274100,276000,277500,278600,279800,280900,280800,280200,279700,279100,279200,280300
214,Houston,146500,146400,146500,147000,147500,148100,148700,149300,150000,150800,151800,152700,153400,153900,154300,154600,154700,154600,154500,154300,154000,153800,153700,153500,153300,153100,152600,152000,151300,150600,150000,149600,149300,149000,148700,148300,148000,147600,147200,146800,146400,146000,145800,145800,145800,145800,145900,145600,145400,145500,145600,145500,145500,145400,145100,144800,144600,144200,143700,143600,143600,143500,143600,143600,143300,143000,142700,142600,142900,143300,143500,143700,143700,143600,143300,142900,142400,142500,143300,144300,144300,144000,144200,144400,144300,144700,145200,146000,146900,147700,148300,148900,149500,150100,150500,151300,152300,153100,154000,155400,157500,159900,161800,163300,165000,166500,168100,169600,171100,172100,173200,174500,175700,176600,177700,178600,179000,179600,180200,180900,182000,183400,184500,185700,186700,187600,188600,189600,190500,191400,192400,193200,193700,193900,194300,194300,193600,192800,192600,192900,193400,194000,195100,196500,198200,200400,202600,204600,206200,207100,207200,206900,207700,209600,210700,210800,210900,211000,210300,210100,211200,212200,212500,213300
218,Houston,99400,99500,99500,99600,99700,99800,99900,100100,100400,100700,101000,101300,101700,102000,102300,102800,103300,103900,104400,104900,105400,105700,105900,105900,105500,104900,104200,103600,102900,102200,101700,101200,100900,100500,100200,100000,99700,99400,99100,98800,98500,98100,97800,97700,97500,97400,97500,97500,97200,97000,97000,96900,96500,96500,96300,95900,95300,94800,94000,92900,92200,92000,92000,92300,92900,92800,92400,92200,92200,92300,92500,92500,92800,92900,92400,91500,90600,89800,89700,89700,89600,89300,89100,89600,90100,90400,90400,90400,90600,91200,91500,91800,92300,92900,93500,94100,94400,94900,95800,96800,97500,98200,99100,99900,100500,101200,102500,103700,104400,105100,106200,107400,108600,109800,110800,111400,111900,112600,112800,112900,113400,114000,114300,115200,116400,117200,118100,119500,121400,122700,123700,124600,125600,126500,127500,128600,129600,130400,131100,131800,132400,133100,133900,135200,136700,138100,139600,141300,143000,144300,145100,146000,147000,147800,148400,148800,149900,151000,151100,150400,150200,151300,152900,153900
221,Dallas,267200,268200,269100,270000,270800,271500,272200,272800,273400,274000,274400,274500,274600,274600,274800,275200,276100,277300,278600,279900,280900,281700,282200,282100,281500,280400,278700,276600,274500,272700,271400,270500,269600,268800,267900,267000,266300,265600,264900,263900,263000,262300,262000,261900,261900,262000,262200,262600,262900,263100,263700,264400,264600,264300,264100,264000,263600,262700,262400,262200,261700,261500,261400,261600,262400,263200,263200,263000,263600,264700,265400,265900,266800,267600,268500,269500,270400,270800,271000,271200,271300,272100,273200,274100,274900,275700,276900,278600,280300,281600,283100,285100,287100,288400,289200,290100,291000,292000,292800,293800,295400,298100,300800,303000,304800,306200,307700,310200,313300,316100,318600,321200,323900,327600,332400,337400,341500,345200,348800,352600,355900,358900,362100,365300,368000,370400,372300,373600,374500,375600,376600,377400,378500,380300,382000,383300,384300,384400,385100,386800,388700,390400,391800,392500,393100,394600,396200,396900,397100,397200,396300,394500,393900,394800,396200,398100,399900,400300,399200,398200,397900,397700,397000,396500
229,Dallas,113600,113700,114000,114300,114500,114500,114300,114100,113800,113600,113400,113200,113000,112900,113100,113600,114300,115100,116000,117100,118100,118800,119400,119600,119200,118300,117000,115600,114100,112700,111500,110600,109800,109000,108100,107500,106900,106200,105500,104800,104000,103000,102000,100900,100000,99200,98700,98200,98000,98400,98400,97800,97600,97600,97300,97000,96800,96800,96700,96100,95400,94800,94200,93400,92800,92500,92100,91700,91500,91400,91200,91300,91200,90900,90900,91400,91900,92000,92300,92300,92100,91800,91600,91500,91700,92000,92400,93000,93800,94500,95200,95900,96300,96500,96900,97500,97700,98200,99000,99900,100000,100300,101200,102700,104600,106200,107200,108200,109100,110000,111000,111600,112200,112500,112500,112300,112300,112800,113400,114000,114700,115500,116500,118200,120700,124100,127900,131200,134300,137500,140300,142500,144400,146000,147400,149200,151000,152000,152500,153700,155200,156100,156800,157900,160000,162500,164700,167100,169300,170800,171900,173300,174500,175800,178100,181700,185400,188100,188400,186700,185100,185500,186500,186900
257,Dallas,162000,162400,162900,163400,163900,164400,165000,165600,166200,166700,167100,167300,167500,167600,167600,167600,167600,167600,167800,167900,168000,168100,168100,167900,167700,167500,167400,167400,167400,167500,167700,167900,168200,168600,168900,169300,169800,170200,170600,171000,171200,171200,171100,170800,170600,170600,170600,170400,170000,170100,170300,170200,170200,170300,170500,171000,171400,171200,170900,170700,170700,170600,170000,169000,167700,166600,165600,164500,163400,162600,162300,162400,162300,161700,161400,162200,163200,164200,164900,165700,166600,167400,167800,168200,168800,169400,170100,170700,171400,172000,172700,173400,174200,174800,175800,177100,178200,179100,180000,181100,182200,183100,183900,185100,186300,187100,188000,189300,191100,192700,194200,195700,197300,198900,200300,201200,202100,203500,205000,206300,207300,208600,210000,212000,215100,219100,223700,228500,233200,237400,240600,243100,245600,248100,250600,252900,254200,254700,255200,256100,257600,259400,261000,261600,262800,265300,267900,269800,271600,273400,275100,276300,277300,279100,281600,284400,286900,288700,289600,289300,288600,288400,288400,288400
267,Houston,178000,178200,178600,179100,179700,180600,181600,183000,184700,186600,188400,190000,191100,192000,192600,193200,193800,194300,194800,195200,195400,195600,195500,195100,194300,193300,192200,191100,190300,189700,189200,188700,188200,187700,187300,186900,186500,186200,185900,185600,185200,184900,185000,185500,186100,186800,187500,188100,188900,189200,189200,189200,189300,189000,188800,188100,187300,186300,185300,184200,183300,182700,182600,182400,182300,182200,181500,180900,180300,179700,179100,178700,178500,178600,178800,178800,178900,179200,179500,179800,180300,180600,180700,180900,181300,181700,181900,182400,182800,183300,184000,185000,185900,187100,188600,189700,190400,191300,192400,193500,194400,195100,196000,197400,198800,200000,201200,202900,204800,206300,207600,209700,212200,214400,216800,219900,222400,224200,226100,228700,230800,232100,233000,233600,234200,235000,235500,235600,235900,236900,237900,238300,238400,238500,239100,240100,241200,242700,244100,244900,245800,246700,247200,247500,248800,250800,252600,253800,255200,256700,257700,258200,258600,259500,260800,262400,263700,264700,265100,265400,265400,265400,265700,266100
269,Dallas,142000,142000,141900,142000,142100,142300,142700,143000,143500,144000,144400,144700,144900,145100,145300,145600,145800,146100,146300,146500,146800,147100,147200,147000,146500,145900,145200,144400,143700,143100,142600,142100,141800,141500,141200,141000,140800,140700,140600,140400,140100,139900,139900,140100,140300,140600,140800,140800,141000,141300,141300,141200,141000,140800,140800,140800,140700,140300,140000,139900,140000,140000,139800,139600,139600,139500,139200,138700,138200,137800,137400,137100,136900,136800,136700,136700,137000,137200,137300,137400,137800,138300,138900,139400,139900,140200,140400,141100,141900,142800,143600,144500,145200,145800,146500,147200,147600,148000,148800,150200,151300,152200,153100,154300,155300,155700,156100,157300,159200,160900,162700,164200,165300,166500,167800,169100,170500,172000,173800,175700,176900,178100,179400,180800,182200,183800,185700,187900,190300,192700,194400,195500,196900,198800,200500,201800,203300,205000,206800,208100,208900,210300,212300,213300,214400,216700,218900,220100,221700,223500,224500,225300,226800,229100,231400,233700,235600,236700,237100,238000,239000,239700,239800,240000
321,Dallas,158100,158300,158600,159000,159300,159700,160000,160400,160900,161400,161800,162200,162600,162900,163200,163400,163700,164200,164700,165400,166100,166800,167400,167900,168100,168200,168000,167800,167500,167400,167400,167400,167500,167500,167700,168000,168300,168600,168900,169000,169100,169200,169300,169300,169300,169100,169000,169000,169100,169200,169200,169300,169600,169500,168900,168200,167600,167100,167100,167500,168000,167800,167200,166600,165800,165000,164600,164300,163900,163600,163000,161800,160100,159400,159700,160200,160200,160400,160800,161800,162800,163400,163800,164300,164900,165500,166000,166600,167700,168900,169600,170000,170500,171300,172000,173000,174100,175200,176200,177400,178500,179200,179800,180500,181300,181800,182500,183900,185600,186700,187800,189300,191000,193100,195400,197300,198600,200000,201200,202800,204300,205700,207000,208800,211300,213800,216400,219800,223500,227200,230400,232700,235000,237500,239600,241400,242700,243800,245200,246400,247800,249100,250800,251900,253300,255800,258300,259600,260900,262100,263100,263600,264300,265700,267600,269700,271600,272500,272200,271500,271100,270900,270600,270400
345,Dallas,169700,170400,171200,172000,172700,173100,173400,173600,173900,174300,174500,174500,174200,173600,173100,172900,172900,173200,173900,174700,175400,176000,176300,176300,176400,176300,176000,175700,175400,175300,175300,175300,175300,175400,175600,175800,176200,176500,176800,176900,176700,176500,176800,177400,177900,178600,179200,179700,179600,179700,179900,180200,180200,180200,179300,178500,178400,178200,177900,177400,176900,176400,175600,174400,173800,173900,173900,174000,174100,173900,173700,174100,174700,175300,175800,176400,177400,178300,178900,178800,178200,177900,178000,178400,178900,179600,180600,182200,183400,184000,184600,185600,186200,186500,187500,188600,189200,189800,190400,191000,191600,192500,193800,195200,196400,197700,198500,198700,199300,200600,202500,204300,205900,207700,210000,212300,215000,218200,221700,224700,226800,227900,229900,232800,236000,239600,244000,248800,253800,258100,261000,263400,266500,269700,272500,275900,279100,281200,282200,283700,285900,287900,289400,291700,295200,298500,300600,302400,304500,305900,306600,306900,307000,307600,309700,313500,318100,321200,321400,319400,317300,316700,316400,315600
