SizeRank,City,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08
6728,Dallas,145900,145900,145900,145800,145700,145700,145700,145500,145300,145200,145100,145300,145600,146200,147000,147800,149000,150600,152300,153800,154900,155600,155800,155600,155200,154400,153300,152000,150600,149400,148600,148100,147800,147500,147300,147200,147100,147000,146800,146300,145700,145300,145000,144600,144000,143400,142900,143100,143300,143000,143100,144100,144600,143700,141700,140100,139500,139800,140300,140100,139500,138800,138200,137600,137200,137300,138500,139500,139800,140100,140500,140900,141800,143300,144900,146400,147700,148400,148300,148500,148900,149100,149100,148600,147400,146300,145700,145500,145400,145300,145800,146700,146600,146000,145400,145600,146200,147500,148700,148900,148600,148800,149500,150500,152000,153500,154700,156400,159100,161000,161900,163100,166500,171000,174500,176300,177500,178900,179800,180400,180900,181800,183000,184000,184000,184300,185200,186300,187400,188400,190000,192800,195400,197600,200000,202200,203500,204500,206100,208600,212100,215500,218600,221500,224900,228400,231900,234400,236800,237900,237900,237600,238000,239000,240800,242400,243000,240900,238500,238000,238800,240300,242200,243200
6832,Dallas,369500,371200,375000,381900,391200,401600,411300,419200,425200,429400,431600,431900,430900,428800,426400,424300,422800,421800,421400,421900,424000,426700,428000,427700,426700,426600,428200,431400,434500,435900,434100,430400,428400,427900,426900,424400,421300,418400,416100,414300,412700,410200,406300,402500,401400,402100,402900,401600,400200,401000,399800,393200,386600,384900,386400,389700,386100,377500,372000,370800,371700,374400,377100,379400,378500,374300,372700,373200,373100,371600,369700,370400,371600,369400,366200,364800,367100,373100,381300,385000,386400,386600,385100,382700,379300,372600,367600,367500,368500,367500,365900,364900,364500,364900,365400,366100,368300,372000,374500,375800,375700,375400,373000,371500,374000,380000,387300,393100,396300,399600,403100,405300,407000,409200,413700,419900,424300,425700,424900,423400,423500,427200,430200,431400,434200,439200,440300,438800,438700,440600,442800,444900,446200,447400,450600,454700,456700,457100,457500,456500,455500,456200,457400,457000,457300,459500,462200,461200,459700,460700,464100,468300,474300,479200,484300,489700,492300,491200,491000,497600,506400,505600,496300,490400
6874,Houston,151400,151900,152100,152300,152500,152700,152700,152500,152200,151800,151200,150500,149900,149700,149800,150100,150900,152200,153600,155000,156200,157000,157700,158200,158700,159100,159300,159300,159400,159500,159000,158000,156800,155700,154600,153500,152400,151400,150200,149000,148000,147400,147400,147800,148500,149400,150100,150600,150900,150800,151700,153800,154700,153900,153800,153600,152700,151900,151900,152500,153400,153900,153500,152400,151000,149200,147600,146500,146200,145800,145400,144700,144100,144100,144200,144300,144900,145800,146400,147300,148900,150500,151300,151400,151800,152700,153300,153600,154400,155600,156100,155900,155600,155000,155600,157000,157000,156500,156400,156600,156900,158100,159900,162200,164500,166200,166700,167300,168800,170200,171500,173300,174300,174800,175700,176500,176500,177000,178000,178400,179200,181400,183600,186000,189500,193000,195500,197700,199800,202200,204200,205700,206300,206000,205000,204200,203400,202500,201500,201500,203500,205900,207700,209600,212000,214200,215400,215100,215300,217500,219800,219500,217200,215300,215100,215200,215400,216600,218400,220100,221100,221200,221300,221500
6893,San Antonio,157200,158100,159300,160700,162300,164000,165500,166700,167600,168300,169000,169500,170000,170300,170400,170400,170400,170600,170800,171100,171400,171700,171600,170700,169400,167800,166000,164400,163100,162400,162000,161700,161700,162100,162700,163600,164600,165700,166500,167000,167500,167800,167000,165400,163900,163100,163100,163700,165000,165800,167000,169000,170400,170600,171300,172400,173300,173600,172500,169400,165300,162200,159900,157800,156000,155100,155600,157500,159400,159700,159700,161200,163300,164900,166400,166700,166300,166300,166900,167300,166900,166300,166800,167700,168100,168100,168300,169000,169700,169600,169200,169200,169500,170600,171800,172700,173200,173600,173500,174000,175600,177400,177600,177200,178200,180200,181800,182500,183400,185000,187000,189100,191300,193300,195400,196800,197000,197200,197500,197900,198800,199500,199000,198000,196900,196200,196800,198500,200500,201800,202900,204300,206100,208300,211200,214900,219700,224100,226500,226800,227100,227500,227200,227400,229100,231000,232100,231700,231000,230900,231000,231000,231300,232200,234000,236100,237600,238900,240600,241700,241500,241300,241600,241600
6927,San Antonio,88900,91100,92900,93900,94100,93700,93200,92800,92500,92300,92200,92400,92900,93700,94600,95400,95900,96200,96400,96800,97300,97800,98100,98100,97900,97700,97600,97800,98400,99300,99700,99400,98700,98100,97600,97100,96700,96300,95800,95300,94800,94300,93700,93200,92700,92300,92000,92200,92300,92000,92500,93800,94700,94400,93600,93200,93300,93000,92300,91500,91100,90900,90700,90700,90900,91300,92000,92400,92300,92400,92800,92900,93100,93500,93400,93100,93000,93100,93200,93600,93900,93900,94200,95000,94700,94500,95500,96300,95800,95900,97000,98500,99900,101000,101100,100600,100600,101300,101500,101200,101300,102200,102600,102300,102100,103200,105000,106800,108700,110900,112700,113700,114300,114600,115300,115900,116600,116400,116000,116400,118000,117800,116200,116200,118200,119000,119000,119800,120700,120700,121000,121200,121000,120800,121200,122200,123500,124700,125500,126500,127400,128100,128600,129100,129200,129800,130700,131900,134400,137600,138800,137500,138200,142500,147200,150500,153300,155800,157000,156100,152400,148600,147000,147800
6944,Dallas,153100,152600,152700,153300,154500,156100,157900,159700,161600,163400,165100,166300,167100,167600,167800,167800,167600,167400,167200,167300,167700,168500,169300,170000,170400,170600,170900,171100,171200,171500,171700,171600,171500,171300,171100,171100,171100,171000,170900,170600,170200,169700,169200,168700,168500,168300,168200,168200,169200,169600,169900,170500,171200,170800,170900,172000,172300,171900,171000,170400,169200,168000,166900,166800,166100,165300,165200,165400,165300,165300,165400,164800,164500,165200,165700,165500,165700,166700,167300,167200,167300,168300,169600,170400,170200,170400,171400,172000,173000,174200,174700,174900,175800,176900,178000,180000,182200,182800,182600,183200,184400,185600,186600,187200,187800,188700,190100,192100,194100,196400,198400,199000,199000,199500,200200,200800,201600,202100,202700,203200,204200,205800,207400,208500,209600,211400,213000,214100,214900,215800,216800,217900,219000,220400,222200,224200,226100,227800,229800,231100,231700,232100,231500,230500,230000,229900,229600,229900,230600,232300,235000,238700,242300,244000,244200,244900,245800,246000,246000,247400,247200,243400,239300,238200
6961,Dallas,86000,86400,86600,86800,87200,87800,88500,89300,90000,90500,90800,90900,90800,90700,90300,89900,89600,89700,89800,89900,90000,90100,90100,90000,89700,89500,89300,88900,88300,87800,86900,86000,85200,84500,83900,83300,82700,82100,81400,80300,79200,78600,78400,78600,78800,79000,79200,79300,79300,79100,80100,81900,82900,82700,82900,83300,83100,82400,81800,81300,80700,80100,79300,78900,79000,79300,79100,78600,78200,78100,77800,77200,77000,77200,77100,76600,76500,76400,75700,74700,74000,73900,74200,74700,75300,75900,76600,76900,76900,77000,77400,78100,79000,79200,78900,79100,79300,78900,78100,77700,77500,77400,77700,78000,77700,77300,77300,77600,77900,78500,79400,80100,80700,81800,83000,83700,84700,86000,87500,88700,89200,89000,88900,89500,90400,91200,91700,93300,95700,98600,100900,102600,104600,107600,110500,112800,114600,116700,119100,121500,123500,124900,125500,126200,127900,130000,131800,134000,136700,137900,136900,135500,135200,135800,137400,138800,139700,140800,141400,140600,139800,140400,142400,144400
7069,Dallas,169300,168400,167700,167700,168400,169700,171400,173100,174800,176700,178800,181400,184200,186700,188500,189200,188700,187300,185800,184700,184700,185400,186100,186100,185300,184100,183000,181900,180900,179800,179000,178700,179200,179800,180100,179700,179000,178600,178900,179500,180300,180700,180600,180000,180100,180400,180600,180000,179100,179100,177700,175100,173400,174000,174500,175200,173400,170300,168400,168200,168700,169700,171100,172600,172700,171100,170800,171400,171300,170500,169600,170500,171700,170700,169100,168900,170600,173400,177100,179300,180300,180600,180300,179200,178400,177700,178100,178900,179100,178600,178100,178100,179200,180500,180700,180900,181700,182600,183400,184300,185100,186100,186300,185800,186100,187700,190200,191600,192200,193200,194200,194700,195900,196900,197400,198200,199300,200400,201300,201900,203000,204900,206800,208300,209800,212000,215100,219500,224000,227500,229600,231400,232800,234100,236700,239500,241200,242400,243300,243000,243000,244600,247800,250700,252600,254100,255300,255700,255800,255800,255400,254700,254300,254600,255300,256000,256200,256500,256200,256900,258800,259300,257000,255400
7185,Houston,139400,139600,139700,139800,139500,139000,138300,137700,137500,137500,137700,138000,138300,138600,139000,139700,140700,141800,143000,144200,145200,145800,146100,146200,146000,145500,144600,143200,141700,140100,139100,139000,139400,139600,139700,139900,140300,140600,140900,141200,141500,141800,142100,142500,142900,143000,143100,143300,143400,143400,143300,143100,143200,143800,143600,141400,138800,137300,136700,136100,135800,136000,135900,135100,133400,131500,129700,129100,129100,129500,129700,129800,129700,129400,129100,129700,131100,132700,134400,135400,135600,135300,135300,135500,136100,136900,137700,138000,138300,138800,140100,142300,144300,145600,145800,144100,141800,140500,139700,138800,138400,138700,139700,141400,143500,145700,147200,148400,149500,151100,153600,157800,162200,164300,163300,161100,159200,157700,158300,161200,164900,167300,169500,170800,171000,170800,171800,173600,175500,176300,176700,177900,179600,180800,181700,182000,181500,182400,184500,186400,187400,188500,189800,191500,192500,192100,191300,192300,195000,197100,198200,199400,201100,203200,205600,207100,208000,208900,209800,209600,209400,209800,209600,209200
7249,San Antonio,429500,432200,434800,437600,440700,444100,447600,450800,453600,456100,458100,460000,462100,464500,467800,472000,476400,480400,484000,486600,488800,491000,492800,493400,492200,488700,484500,480100,475500,470400,466300,463500,461500,459900,459200,459500,460100,460300,460800,461400,461400,460500,459200,457100,455400,454900,455700,457500,459300,460700,460400,458600,456800,455800,453800,452500,452500,454400,454300,451700,449700,450600,450200,448400,449600,452000,453500,454800,455900,453900,451200,449000,448000,448400,450300,453000,453700,454000,457500,462300,464300,465100,466500,468600,469900,469800,469900,470200,470400,470400,470600,471000,471700,472800,474400,475700,475600,475500,476300,477400,478700,480500,482500,483600,484500,485400,486100,486900,487800,487300,487500,489100,491900,494600,496900,497200,497400,499200,502300,504700,505500,506800,509200,513100,517600,522300,525000,526100,527100,528200,528700,531400,537000,544100,549200,553600,558800,565700,573000,581100,589200,594800,598500,602500,606100,609800,614000,613800,611000,609300,607200,604800,605400,608600,612800,618300,625100,629300,631600,636800,638800,632200,624900,622200
