Pivot1 Names,RegionName,SizeRank,Pivot1 Values
2010-02,United States,0,
2010-02,"Los Angeles-Long Beach-Anaheim, CA",1,
2010-02,"Chicago, IL",2,2500
2010-02,"Dallas-Fort Worth, TX",3,
2010-02,"Philadelphia, PA",4,
2010-02,"Houston, TX",5,
2010-02,"Washington, DC",6,
2010-02,"Miami-Fort Lauderdale, FL",7,
2010-02,"Atlanta, GA",8,
2010-02,"Boston, MA",9,
2010-02,"San Francisco, CA",10,
2010-02,"Detroit, MI",11,
2010-02,"Riverside, CA",12,
2010-02,"Phoenix, AZ",13,
2010-02,"Seattle, WA",14,
2010-02,"Minneapolis-St Paul, MN",15,
2010-02,"San Diego, CA",16,
2010-02,"St. Louis, MO",17,
2010-02,"Tampa, FL",18,1300
2010-02,"Baltimore, MD",19,
2010-02,"Denver, CO",20,
2010-02,"Pittsburgh, PA",21,
2010-02,"Portland, OR",22,
2010-02,"Charlotte, NC",23,
2010-02,"Sacramento, CA",24,
2010-02,"San Antonio, TX",25,
2010-02,"Orlando, FL",26,
2010-02,"Cincinnati, OH",27,
2010-02,"Cleveland, OH",28,
2010-02,"Kansas City, MO",29,
2010-02,"Las Vegas, NV",30,
2010-02,"Columbus, OH",31,
2010-02,"Indianapolis, IN",32,
2010-02,"San Jose, CA",33,
2010-02,"Austin, TX",34,
2010-02,"Virginia Beach, VA",35,
2010-02,"Nashville, TN",36,
2010-02,"Providence, RI",37,
2010-02,"Milwaukee, WI",38,
2010-02,"Jacksonville, FL",39,
2010-02,"Memphis, TN",40,
2010-02,"Oklahoma City, OK",41,
2010-02,"Louisville-Jefferson County, KY",42,
2010-02,"Hartford, CT",43,
2010-02,"Richmond, VA",44,
2010-02,"Buffalo, NY",45,
2010-02,"Raleigh, NC",46,
2010-02,"Birmingham, AL",47,
2010-02,"Salt Lake City, UT",48,
2010-02,"Rochester, NY",49,
2010-02,"Grand Rapids, MI",50,
2010-02,"Tucson, AZ",51,
2010-02,"Urban Honolulu, HI",52,
2010-02,"Tulsa, OK",53,
2010-02,"Fresno, CA",54,
2010-02,"Worcester, MA",55,
2010-02,"Stamford, CT",56,
2010-02,"Albuquerque, NM",57,
2010-02,"Albany, NY",58,
2010-02,"Omaha, NE",59,
2010-02,"New Haven, CT",60,
2010-02,"Bakersfield, CA",61,
2010-02,"Knoxville, TN",62,
2010-02,"Greenville, SC",63,
2010-02,"Ventura, CA",64,
2010-02,"Allentown, PA",65,
2010-02,"El Paso, TX",66,
2010-02,"Baton Rouge, LA",67,
2010-02,"Dayton, OH",68,
2010-02,"McAllen, TX",69,
2010-02,"Columbia, SC",70,
2010-02,"Greensboro, NC",71,
2010-02,"Akron, OH",72,
2010-02,"North Port-Sarasota-Bradenton, FL",73,
2010-02,"Stockton, CA",74,
2010-02,"Syracuse, NY",75,
2010-02,"Colorado Springs, CO",76,
2010-02,"Winston-Salem, NC",77,
2010-02,"Wichita, KS",78,
2010-02,"Springfield, MA",79,
2010-02,"Fort Myers, FL",80,
2010-02,"Boise City, ID",81,
2010-02,"Toledo, OH",82,
2010-02,"Lakeland, FL",83,
2010-02,"Ogden, UT",84,
2010-02,"Daytona Beach, FL",85,
2010-02,"Des Moines, IA",86,
2010-02,"Youngstown, OH",87,
2010-02,"Augusta, GA",88,
2010-02,"Harrisburg, PA",89,
2010-02,"Melbourne, FL",90,
2010-02,"Spokane, WA",91,
2010-02,"Provo, UT",92,
2010-02,"Lancaster, PA",93,
2010-02,"Modesto, CA",94,
2010-02,"Portland, ME",95,
2010-02,"Durham, NC",96,
2010-02,"Santa Rosa, CA",97,
2010-02,"Lexington, KY",98,
2010-02,"Pensacola, FL",99,
2010-02,"Visalia, CA",100,
2010-02,"Springfield, MO",101,
2010-02,"Reno, NV",102,
2010-02,"Asheville, NC",103,
2010-02,"Port St. Lucie, FL",104,
2010-02,"Salinas, CA",105,
2010-02,"Vallejo, CA",106,
2010-02,"Killeen, TX",107,
2010-02,"Canton, OH",108,
2010-02,"Anchorage, AK",109,
2010-02,"Davenport, IL",110,
2010-02,"Myrtle Beach, SC",111,
2010-02,"Montgomery, AL",112,
2010-02,"Fayetteville, NC",113,
2010-02,"Rockford, IL",114,
2010-02,"Savannah, GA",115,
2010-02,"Ocala, FL",116,
2010-02,"Lincoln, NE",117,
2010-02,"Fort Collins, CO",118,
2010-02,"Columbus, GA",119,
2010-02,"Lubbock, TX",120,
2010-02,"San Luis Obispo, CA",121,
2010-02,"Gainesville, FL",122,
2010-02,"Santa Cruz, CA",123,
2010-02,"Cedar Rapids, IA",124,
2010-02,"Merced, CA",125,
2010-02,"Kennewick, WA",126,
2010-02,"Greeley, CO",127,
2010-02,"Olympia, WA",128,
2010-02,"Bremerton, WA",129,
2010-02,"Crestview-Fort Walton Beach-Destin, FL",130,
2010-02,"Champaign-Urbana, IL",131,
2010-02,"College Station, TX",132,
2010-02,"Charlottesville, VA",133,
2010-02,"Daphne, AL",134,
2010-02,"Warner Robins, GA",135,
2010-02,"Jacksonville, NC",136,
2010-02,"East Stroudsburg, PA",137,
2010-02,"Waterloo, IA",138,
2010-02,"Dover, DE",139,
2010-02,"Bloomington, IN",140,
2010-02,"Billings, MT",141,
2010-02,"Bend, OR",142,
2010-02,"Coeur d'Alene, ID",143,
2010-02,"St. George, UT",144,
2010-02,"Lawton, OK",145,
2010-02,"Morgantown, WV",146,
2010-02,"Watertown, NY",147,
2010-02,"Lawrence, KS",148,
2010-02,"Ithaca, NY",149,
2010-02,"Manhattan, KS",150,
2010-02,"Corvallis, OR",151,
2010-02,"Glenwood Springs, CO",152,
2010-02,"Junction City, KS",153,
2010-02,"Vineyard Haven, MA",154,
2010-03,United States,0,2100
2010-03,"Los Angeles-Long Beach-Anaheim, CA",1,3295
2010-03,"Chicago, IL",2,2300
2010-03,"Dallas-Fort Worth, TX",3,1495
2010-03,"Philadelphia, PA",4,
2010-03,"Houston, TX",5,
2010-03,"Washington, DC",6,2300
2010-03,"Miami-Fort Lauderdale, FL",7,
2010-03,"Atlanta, GA",8,1495
2010-03,"Boston, MA",9,
2010-03,"San Francisco, CA",10,
2010-03,"Detroit, MI",11,2000
2010-03,"Riverside, CA",12,2000
2010-03,"Phoenix, AZ",13,
2010-03,"Seattle, WA",14,1900
2010-03,"Minneapolis-St Paul, MN",15,
