Date,PriceCut,RegionID,RegionName,SizeRank
2010-09,15.857730671,395244,"York, PA",114
2010-09,14.085609653,394596,"Flint, MI",116
2010-09,19.006968992,395019,"Reno, NV",117
2010-09,10.240516985,394338,"Asheville, NC",118
2010-09,12.925533738,394995,"Port St. Lucie, FL",119
2010-09,14.047991701,394612,"Fort Wayne, IN",122
2010-09,10.858093266,395015,"Reading, PA",126
2010-09,15.613438597,394820,"Manchester, NH",131
2010-09,18.673773497,395048,"Salem, OR",132
2010-09,16.869392799,394327,"Anchorage, AK",133
2010-09,15.822874076,394972,"Peoria, IL",135
2010-09,12.736119298,394898,"Myrtle Beach, SC",136
2010-09,15.494639121,395164,"Trenton, NJ",141
2010-09,10.589058555,394589,"Fayetteville, NC",142
2010-09,17.568208179,395033,"Rockford, IL",146
2010-09,14.595681892,394332,"Ann Arbor, MI",148
2010-09,17.151299088,394927,"Ocala, FL",149
2010-09,16.469173803,394901,"Naples, FL",151
2010-09,11.500054686,395107,"South Bend, IN",152
2010-09,8.860211968,394579,"Evansville, IN",154
2010-09,15.347891144,394602,"Fort Collins, CO",159
2010-09,15.293741368,394405,"Boulder, CO",162
2010-09,12.104527838,394471,"Clarksville, TN",172
2010-09,14.561852521,395229,"Wilmington, NC",175
2010-09,19.806764989,394645,"Greeley, CO",177
2010-09,14.264605720,394937,"Olympia, WA",179
2010-09,18.674919294,394660,"Hagerstown, WV",182
2010-09,18.255111096,753875,"Crestview-Fort Walton Beach-Destin, FL",187
2010-09,15.091343081,394361,"Barnstable Town, MA",199
2010-09,13.524146003,394378,"Bellingham, WA",212
2010-09,14.619430272,394765,"Lake Havasu City, AZ",213
2010-09,11.893847474,394565,"Elkhart, IN",217
2010-09,12.395322021,394681,"Hilton Head Island, SC",223
2010-09,18.637655789,395009,"Punta Gorda, FL",251
2010-09,12.905940406,394380,"Bend, OR",256
2010-09,15.040333064,394480,"Coeur d'Alene, ID",292
2010-09,10.459233237,395119,"St. George, UT",294
2010-10,14.236157380,102001,United States,0
2010-10,13.181184259,394913,"New York, NY",1
2010-10,12.369165816,753899,"Los Angeles-Long Beach-Anaheim, CA",2
2010-10,14.898532851,394463,"Chicago, IL",3
2010-10,13.802697209,394514,"Dallas-Fort Worth, TX",4
2010-10,16.071867698,394974,"Philadelphia, PA",5
2010-10,14.396539711,394692,"Houston, TX",6
