Date,ZHVI,RegionID,RegionName,SizeRank
1996-07,55400,28,Maine,40
1996-07,54400,39,New Hampshire,41
1996-07,74500,50,Rhode Island,42
1996-07,122100,35,Montana,43
1996-07,41200,52,South Dakota,44
1996-07,67600,3,Alaska,45
1996-07,,37,North Dakota,46
1996-07,89400,12,District of Columbia,47
1996-07,118600,62,Wyoming,48
1996-08,93300,9,California,1
1996-08,46500,54,Texas,2
1996-08,60300,43,New York,3
1996-08,42300,14,Florida,4
1996-08,60400,21,Illinois,5
1996-08,50800,47,Pennsylvania,6
1996-08,47200,44,Ohio,7
1996-08,60900,30,Michigan,8
1996-08,62200,16,Georgia,9
1996-08,48100,36,North Carolina,10
1996-08,88200,40,New Jersey,11
1996-08,75700,56,Virginia,12
1996-08,84200,59,Washington,13
1996-08,79600,26,Massachusetts,14
1996-08,58000,22,Indiana,15
1996-08,48400,8,Arizona,16
1996-08,53500,53,Tennessee,17
1996-08,52300,32,Missouri,18
1996-08,73300,60,Wisconsin,19
1996-08,53100,31,Minnesota,20
1996-08,70300,10,Colorado,21
1996-08,46300,4,Alabama,22
1996-08,71800,51,South Carolina,23
1996-08,,25,Louisiana,24
1996-08,44700,24,Kentucky,25
1996-08,80700,46,Oregon,26
1996-08,18300,45,Oklahoma,27
1996-08,56500,11,Connecticut,28
1996-08,35600,19,Iowa,29
1996-08,44200,34,Mississippi,30
1996-08,50800,6,Arkansas,31
1996-08,28700,23,Kansas,32
1996-08,97300,55,Utah,33
1996-08,66100,42,Nevada,34
1996-08,96300,41,New Mexico,35
1996-08,23600,61,West Virginia,36
1996-08,50000,38,Nebraska,37
1996-08,61300,20,Idaho,38
1996-08,153800,18,Hawaii,39
1996-08,55000,28,Maine,40
1996-08,54200,39,New Hampshire,41
1996-08,74500,50,Rhode Island,42
1996-08,122200,35,Montana,43
1996-08,41400,52,South Dakota,44
1996-08,67500,3,Alaska,45
1996-08,,37,North Dakota,46
1996-08,89800,12,District of Columbia,47
1996-08,118400,62,Wyoming,48
1996-09,93000,9,California,1
1996-09,46400,54,Texas,2
1996-09,60200,43,New York,3
1996-09,42300,14,Florida,4
1996-09,60300,21,Illinois,5
1996-09,50900,47,Pennsylvania,6
1996-09,47300,44,Ohio,7
1996-09,61200,30,Michigan,8
1996-09,62500,16,Georgia,9
1996-09,48200,36,North Carolina,10
1996-09,88000,40,New Jersey,11
1996-09,75400,56,Virginia,12
1996-09,84500,59,Washington,13
1996-09,79900,26,Massachusetts,14
1996-09,56900,22,Indiana,15
1996-09,48700,8,Arizona,16
1996-09,53600,53,Tennessee,17
1996-09,51800,32,Missouri,18
1996-09,73800,60,Wisconsin,19
1996-09,53200,31,Minnesota,20
1996-09,70800,10,Colorado,21
1996-09,46300,4,Alabama,22
1996-09,72300,51,South Carolina,23
1996-09,,25,Louisiana,24
1996-09,44900,24,Kentucky,25
1996-09,81200,46,Oregon,26
1996-09,18300,45,Oklahoma,27
1996-09,56400,11,Connecticut,28
1996-09,35500,19,Iowa,29
1996-09,44100,34,Mississippi,30
1996-09,50500,6,Arkansas,31
1996-09,28600,23,Kansas,32
1996-09,97100,55,Utah,33
1996-09,66200,42,Nevada,34
1996-09,96300,41,New Mexico,35
1996-09,23700,61,West Virginia,36
1996-09,50700,38,Nebraska,37
1996-09,61400,20,Idaho,38
1996-09,153300,18,Hawaii,39
1996-09,54600,28,Maine,40
1996-09,54100,39,New Hampshire,41
1996-09,74400,50,Rhode Island,42
1996-09,122300,35,Montana,43
1996-09,41500,52,South Dakota,44
1996-09,67600,3,Alaska,45
1996-09,,37,North Dakota,46
1996-09,90100,12,District of Columbia,47
1996-09,118100,62,Wyoming,48
1996-10,92700,9,California,1
1996-10,46400,54,Texas,2
1996-10,60000,43,New York,3
1996-10,42400,14,Florida,4
1996-10,60100,21,Illinois,5
1996-10,51000,47,Pennsylvania,6
1996-10,47400,44,Ohio,7
1996-10,61600,30,Michigan,8
1996-10,62900,16,Georgia,9
1996-10,48400,36,North Carolina,10
1996-10,87900,40,New Jersey,11
1996-10,75200,56,Virginia,12
1996-10,85000,59,Washington,13
1996-10,80200,26,Massachusetts,14
1996-10,55900,22,Indiana,15
1996-10,48900,8,Arizona,16
1996-10,53600,53,Tennessee,17
1996-10,51300,32,Missouri,18
1996-10,74100,60,Wisconsin,19
1996-10,53400,31,Minnesota,20
1996-10,71400,10,Colorado,21
1996-10,46400,4,Alabama,22
1996-10,73000,51,South Carolina,23
1996-10,,25,Louisiana,24
1996-10,45100,24,Kentucky,25
1996-10,81800,46,Oregon,26
1996-10,18200,45,Oklahoma,27
1996-10,56400,11,Connecticut,28
1996-10,35500,19,Iowa,29
1996-10,44000,34,Mississippi,30
1996-10,50300,6,Arkansas,31
1996-10,28500,23,Kansas,32
1996-10,97000,55,Utah,33
1996-10,66400,42,Nevada,34
1996-10,96400,41,New Mexico,35
1996-10,23900,61,West Virginia,36
1996-10,51100,38,Nebraska,37
1996-10,61500,20,Idaho,38
1996-10,152700,18,Hawaii,39
1996-10,54400,28,Maine,40
1996-10,54100,39,New Hampshire,41
1996-10,74300,50,Rhode Island,42
1996-10,122300,35,Montana,43
1996-10,41700,52,South Dakota,44
1996-10,67700,3,Alaska,45
1996-10,,37,North Dakota,46
1996-10,90400,12,District of Columbia,47
1996-10,118000,62,Wyoming,48
1996-11,92500,9,California,1
1996-11,46300,54,Texas,2
1996-11,59900,43,New York,3
1996-11,42300,14,Florida,4
1996-11,59900,21,Illinois,5
1996-11,51100,47,Pennsylvania,6
1996-11,47600,44,Ohio,7
1996-11,61900,30,Michigan,8
1996-11,63400,16,Georgia,9
1996-11,48600,36,North Carolina,10
1996-11,87900,40,New Jersey,11
1996-11,75000,56,Virginia,12
1996-11,85600,59,Washington,13
1996-11,80600,26,Massachusetts,14
1996-11,55000,22,Indiana,15
1996-11,49200,8,Arizona,16
1996-11,53500,53,Tennessee,17
1996-11,50800,32,Missouri,18
1996-11,74500,60,Wisconsin,19
1996-11,53600,31,Minnesota,20
1996-11,71900,10,Colorado,21
1996-11,46500,4,Alabama,22
1996-11,73700,51,South Carolina,23
1996-11,,25,Louisiana,24
1996-11,45300,24,Kentucky,25
1996-11,82400,46,Oregon,26
1996-11,18100,45,Oklahoma,27
1996-11,56300,11,Connecticut,28
1996-11,35400,19,Iowa,29
1996-11,43900,34,Mississippi,30
1996-11,50000,6,Arkansas,31
1996-11,28400,23,Kansas,32
1996-11,96800,55,Utah,33
1996-11,66600,42,Nevada,34
1996-11,96700,41,New Mexico,35
1996-11,24000,61,West Virginia,36
1996-11,51200,38,Nebraska,37
1996-11,61800,20,Idaho,38
1996-11,152000,18,Hawaii,39
1996-11,54200,28,Maine,40
1996-11,54300,39,New Hampshire,41
1996-11,74100,50,Rhode Island,42
1996-11,122200,35,Montana,43
1996-11,41800,52,South Dakota,44
1996-11,68000,3,Alaska,45
1996-11,,37,North Dakota,46
1996-11,90500,12,District of Columbia,47
1996-11,117800,62,Wyoming,48
1996-12,92400,9,California,1
1996-12,46200,54,Texas,2
1996-12,59800,43,New York,3
1996-12,42400,14,Florida,4
1996-12,59600,21,Illinois,5
1996-12,51300,47,Pennsylvania,6
1996-12,47700,44,Ohio,7
1996-12,62200,30,Michigan,8
1996-12,64000,16,Georgia,9
1996-12,48800,36,North Carolina,10
1996-12,88000,40,New Jersey,11
1996-12,74900,56,Virginia,12
1996-12,86400,59,Washington,13
1996-12,81100,26,Massachusetts,14
1996-12,54400,22,Indiana,15
1996-12,49500,8,Arizona,16
1996-12,53400,53,Tennessee,17
1996-12,50300,32,Missouri,18
1996-12,74800,60,Wisconsin,19
1996-12,53800,31,Minnesota,20
1996-12,72400,10,Colorado,21
1996-12,46500,4,Alabama,22
1996-12,74600,51,South Carolina,23
1996-12,,25,Louisiana,24
1996-12,45600,24,Kentucky,25
1996-12,83100,46,Oregon,26
1996-12,17900,45,Oklahoma,27
1996-12,56200,11,Connecticut,28
1996-12,35500,19,Iowa,29
1996-12,43800,34,Mississippi,30
1996-12,49800,6,Arkansas,31
1996-12,28300,23,Kansas,32
1996-12,96700,55,Utah,33
1996-12,66900,42,Nevada,34
1996-12,97100,41,New Mexico,35
1996-12,24100,61,West Virginia,36
1996-12,51000,38,Nebraska,37
1996-12,62200,20,Idaho,38
1996-12,151400,18,Hawaii,39
1996-12,54100,28,Maine,40
1996-12,54500,39,New Hampshire,41
1996-12,74000,50,Rhode Island,42
1996-12,122100,35,Montana,43
1996-12,41900,52,South Dakota,44
1996-12,68300,3,Alaska,45
1996-12,,37,North Dakota,46
1996-12,90800,12,District of Columbia,47
1996-12,117800,62,Wyoming,48
1997-01,92500,9,California,1
1997-01,46100,54,Texas,2
1997-01,59800,43,New York,3
1997-01,42400,14,Florida,4
1997-01,59500,21,Illinois,5
1997-01,51500,47,Pennsylvania,6
1997-01,47800,44,Ohio,7
1997-01,62600,30,Michigan,8
1997-01,64600,16,Georgia,9
1997-01,49100,36,North Carolina,10
1997-01,88300,40,New Jersey,11
1997-01,74900,56,Virginia,12
1997-01,87300,59,Washington,13
1997-01,81700,26,Massachusetts,14
1997-01,54000,22,Indiana,15
