Date,ZHVI,RegionID,RegionName,SizeRank
1996-04,267300,9,California,1
1996-04,261900,54,Texas,2
1996-04,142700,43,New York,3
1996-04,199700,14,Florida,4
1996-04,260700,21,Illinois,5
1996-04,145500,47,Pennsylvania,6
1996-04,144000,44,Ohio,7
1996-04,153900,30,Michigan,8
1996-04,205000,16,Georgia,9
1996-04,216300,36,North Carolina,10
1996-04,295300,40,New Jersey,11
1996-04,221700,56,Virginia,12
1996-04,190600,59,Washington,13
1996-04,254500,26,Massachusetts,14
1996-04,149900,22,Indiana,15
1996-04,89600,8,Arizona,16
1996-04,236100,53,Tennessee,17
1996-04,169800,32,Missouri,18
1996-04,133500,60,Wisconsin,19
1996-04,133500,31,Minnesota,20
1996-04,191900,10,Colorado,21
1996-04,240600,4,Alabama,22
1996-04,159400,51,South Carolina,23
1996-04,,25,Louisiana,24
1996-04,133200,24,Kentucky,25
1996-04,177300,46,Oregon,26
1996-04,156700,45,Oklahoma,27
1996-04,280800,11,Connecticut,28
1996-04,83500,19,Iowa,29
1996-04,146100,34,Mississippi,30
1996-04,222200,6,Arkansas,31
1996-04,118500,23,Kansas,32
1996-04,180900,55,Utah,33
1996-04,210800,42,Nevada,34
1996-04,192400,41,New Mexico,35
1996-04,85800,61,West Virginia,36
1996-04,76400,38,Nebraska,37
1996-04,119300,20,Idaho,38
1996-04,302000,18,Hawaii,39
1996-04,131800,28,Maine,40
1996-04,149500,39,New Hampshire,41
1996-04,184600,50,Rhode Island,42
1996-04,212500,35,Montana,43
1996-04,189800,13,Delaware,44
1996-04,160600,3,Alaska,45
1996-04,,37,North Dakota,46
1996-04,392300,12,District of Columbia,47
1996-04,166600,62,Wyoming,48
1996-05,266900,9,California,1
1996-05,261100,54,Texas,2
1996-05,142800,43,New York,3
1996-05,200300,14,Florida,4
1996-05,261900,21,Illinois,5
1996-05,145500,47,Pennsylvania,6
1996-05,144200,44,Ohio,7
1996-05,155200,30,Michigan,8
1996-05,206200,16,Georgia,9
1996-05,218200,36,North Carolina,10
1996-05,295500,40,New Jersey,11
1996-05,221600,56,Virginia,12
1996-05,190900,59,Washington,13
1996-05,255100,26,Massachusetts,14
1996-05,148900,22,Indiana,15
1996-05,90100,8,Arizona,16
1996-05,237500,53,Tennessee,17
1996-05,170000,32,Missouri,18
1996-05,133300,60,Wisconsin,19
1996-05,133600,31,Minnesota,20
1996-05,190900,10,Colorado,21
1996-05,239800,4,Alabama,22
1996-05,160800,51,South Carolina,23
1996-05,,25,Louisiana,24
1996-05,133700,24,Kentucky,25
1996-05,178400,46,Oregon,26
1996-05,158400,45,Oklahoma,27
1996-05,281000,11,Connecticut,28
1996-05,83900,19,Iowa,29
1996-05,146500,34,Mississippi,30
1996-05,221000,6,Arkansas,31
1996-05,119300,23,Kansas,32
1996-05,182300,55,Utah,33
1996-05,210500,42,Nevada,34
1996-05,192600,41,New Mexico,35
1996-05,86100,61,West Virginia,36
1996-05,77500,38,Nebraska,37
1996-05,119100,20,Idaho,38
1996-05,298400,18,Hawaii,39
1996-05,131300,28,Maine,40
1996-05,150300,39,New Hampshire,41
1996-05,184500,50,Rhode Island,42
1996-05,212500,35,Montana,43
1996-05,190200,13,Delaware,44
1996-05,161100,3,Alaska,45
1996-05,,37,North Dakota,46
1996-05,392200,12,District of Columbia,47
1996-05,166700,62,Wyoming,48
1996-06,266700,9,California,1
1996-06,260400,54,Texas,2
1996-06,142800,43,New York,3
1996-06,201200,14,Florida,4
1996-06,262700,21,Illinois,5
1996-06,145700,47,Pennsylvania,6
1996-06,144500,44,Ohio,7
1996-06,156500,30,Michigan,8
1996-06,207400,16,Georgia,9
1996-06,219300,36,North Carolina,10
1996-06,295800,40,New Jersey,11
1996-06,221800,56,Virginia,12
1996-06,191400,59,Washington,13
1996-06,255800,26,Massachusetts,14
1996-06,147900,22,Indiana,15
1996-06,90600,8,Arizona,16
1996-06,238800,53,Tennessee,17
1996-06,170400,32,Missouri,18
1996-06,133300,60,Wisconsin,19
1996-06,133900,31,Minnesota,20
1996-06,190300,10,Colorado,21
1996-06,239200,4,Alabama,22
1996-06,162600,51,South Carolina,23
1996-06,,25,Louisiana,24
1996-06,134200,24,Kentucky,25
1996-06,179600,46,Oregon,26
1996-06,159800,45,Oklahoma,27
1996-06,281100,11,Connecticut,28
1996-06,84300,19,Iowa,29
1996-06,146800,34,Mississippi,30
1996-06,219400,6,Arkansas,31
1996-06,120200,23,Kansas,32
1996-06,183800,55,Utah,33
1996-06,210400,42,Nevada,34
1996-06,192700,41,New Mexico,35
1996-06,86400,61,West Virginia,36
1996-06,78700,38,Nebraska,37
1996-06,119400,20,Idaho,38
1996-06,294500,18,Hawaii,39
1996-06,130800,28,Maine,40
1996-06,151100,39,New Hampshire,41
1996-06,184500,50,Rhode Island,42
1996-06,212700,35,Montana,43
1996-06,190600,13,Delaware,44
1996-06,161600,3,Alaska,45
1996-06,,37,North Dakota,46
1996-06,392100,12,District of Columbia,47
1996-06,166800,62,Wyoming,48
1996-07,266700,9,California,1
1996-07,259700,54,Texas,2
1996-07,142800,43,New York,3
1996-07,202200,14,Florida,4
1996-07,263100,21,Illinois,5
1996-07,145900,47,Pennsylvania,6
1996-07,144800,44,Ohio,7
