SizeRank,RegionID,RegionName,RegionType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06
0,102001,United States,Country,0.9192097313392155,0.9183673469387755,0.9264978381717109,0.9322033898305084,0.9369951534733441,0.9382739390724651,0.933955970647098,0.9324009324009324,0.9254976303317536,0.9217391304347826,0.9176470588235294,0.9142367066895368,0.9102902374670184,0.9090909090909091,0.9129677980852916,0.9194029850746268,0.9261732120561974,0.9312536032284927,0.9318323952470294,0.9293019119608715,0.9259809088344888,0.9235505387378142,0.9221976880114301,0.9215376513954713,0.9194854692710814,0.9217707701637355,0.9301691216584833,0.9385783298826778,0.9473684210526315,0.9516047652701372,0.9523809523809523,0.950608031429367,0.9493919183993723,0.9485484334578902,0.9478672985781991,0.9463148316651502,0.9451219512195121,0.9473684210526315,0.9535020600353149,0.9593114241001565,0.9640745793542519,0.9669669669669669,0.9669889963321107,0.9646924829157175,0.9612403100775194,0.9573542210617929,0.9531772575250836,0.9499136442141624,0.9461905545499424,0.9481632653061225,0.9541284403669725,0.9590909090909091,0.9636363636363636,0.966643975493533,0.9649329253942104,0.9615384615384616,0.9575757575757575,0.9536363636363636,0.9514285714285714,0.9487428768519148,0.946969696969697,0.95,0.9583991574512901,0.9644444444444444,0.9693558474046279,0.9713940835920685,0.9697280656747049,0.9666666666666667,0.963265306122449,0.9599783666846944,0.9574468085106383,0.9559675550405562,0.9541397353031702,0.9559804357492219,0.9638117117905636,0.9697286012526096,0.9740740740740741,0.9758031720211469,0.9752438109527382,0.9725941093085525,0.9693053311793215,0.9666666666666667,0.9646302250803859,0.9620253164556962,0.9599528857479388,0.9621621621621622,0.9691672396085322,0.9748201438848921,0.9784310314837363,0.9805825242718447,0.979498861047836,0.9761194029850746,0.9733333333333334,0.9703779366700716,0.9682804674457429,0.9661538461538461,0.9642857142857143,0.9683426443202979,0.9749455337690632,0.979498861047836,0.9824937477670597,0.9837997054491899,0.9814814814814815,0.9769094138543517,0.9728183118741058,0.96875,0.9652022618529795,0.9614180602006689,0.958904109589041,0.9631985270513272,0.9693558474046279,0.9748999636231357,0.979757360959651,0.981651376146789
1,394913,"New York, NY",Msa,0.8998491837981607,0.8992038920831491,0.897085208388482,0.906816760475297,0.9113043478260869,0.9212121212121213,0.9224137931034483,0.9214092140921409,0.9097013673671985,0.9104803493449781,0.9096292072868666,0.9066666666666666,0.8992156621818107,0.8978882718120111,0.897172236503856,0.903010033444816,0.905895078420768,0.9135041616010474,0.9218436873747495,0.9202760828248474,0.9090909090909091,0.9018036072144289,0.8946488294314381,0.8923726971103403,0.8838750700141966,0.8888888888888888,0.892543411634279,0.9,0.9090909090909091,0.9180327868852459,0.9273182957393483,0.9258517034068137,0.9226491405460061,0.919732441471572,0.9171597633136095,0.9188034188034188,0.9147869674185464,0.9203681472589036,0.9142857142857143,0.9258536037088481,0.9381791638711274,0.9459459459459459,0.9498956158663883,0.9539929219879981,0.9507246376811594,0.9449694274596998,0.9411764705882353,0.9384580469765156,0.9370354055393426,0.9346936490161575,0.9357857373346241,0.9358490566037736,0.9491525423728814,0.9558232931726908,0.9580081713158637,0.9559748427672956,0.9491525423728814,0.9428571428571428,0.939183987682833,0.9384775808133472,0.9361702127659575,0.9366520405453196,0.9351892127011744,0.943976401179941,0.9489302967563837,0.9546883262474353,0.9603841536614646,0.9584615384615385,0.9543178973717147,0.9482470784641068,0.9436913451511991,0.9428571428571428,0.9400188003760075,0.9396786905122765,0.9428571428571428,0.9462311070680257,0.954653937947494,0.9599908024833295,0.963855421686747,0.963132323521006,0.9593666734986678,0.9564241186913924,0.9528346831824679,0.9509113924050633,0.9491453284326633,0.9494846737980003,0.9512922147689984,0.9576819962159029,0.9642866982517329,0.9680851063829787,0.9710144927536232,0.9705925173220284,0.9669889963321107,0.9649122807017544,0.9619238476953907,0.9614593937281402,0.9573048699132756,0.9546165884194053,0.9591136526090064,0.9629629629629629,0.9694915254237289,0.9732052578361982,0.9745762711864406,0.9714285714285714,0.967741935483871,0.9638118214716526,0.9598853868194842,0.9565217391304348,0.9518350168350168,0.949874686716792,0.9504761904761905,0.9574052364204767,0.9635104777641974,0.9689518649718691
2,753899,"Los Angeles-Long Beach-Anaheim, CA",Msa,0.9618874773139746,0.9545151414107733,0.9645454545454546,0.9690624969787595,0.9693053311793215,0.9681082647218003,0.9669889963321107,0.962506675733735,0.9572169185397885,0.9536082474226805,0.9498680738786279,0.944406258230754,0.9444110977724423,0.9379820038815158,0.9436619718309859,0.9491133082234777,0.9507640067911715,0.9499593165174939,0.948509485094851,0.9463358338141951,0.9409090909090909,0.9433070866141732,0.9423681043920817,0.9437810413250636,0.9412872102600306,0.9456073485307255,0.94972067039106145,0.9576923076923077,0.9652736904061212,0.9726443768996961,0.9754877438719359,0.9772128601380934,0.9780795321637427,0.9813084112149533,0.9834972495415902,0.9846153846153847,0.9896561201511471,0.9954709701092004,1,1,1.0000016666694445,1.0001601537475977,1,1,0.9989669509594883,0.9866666666666667,0.9816462736373749,0.978865406006674,0.9758134157891805,0.9789473684210527,0.9830158900225823,0.9853862212943633,0.9855072463768116,0.9840148411034038,0.9834933461551418,0.9786535347015013,0.9752808988764045,0.9727272727272728,0.9714285714285714,0.9698915321596148,0.9683224474528478,0.975609756097561,0.9813084112149533,0.9865716634694437,0.9888765294771968,0.989517819706499,0.9885523328751172,0.9869375907111756,0.9849941730326415,0.981029810298103,0.9779852292898568,0.9790888606295876,0.9779874213836478,0.9813084112149533,0.9876543209876543,0.9899979587670953,0.9925155291100793,0.9924362257125805,0.9927140255009107,0.9887344809892569,0.9859375,0.9834972495415902,0.9822485207100592,0.9799554565701559,0.9795509130098478,0.9835907335907336,0.9904761904761905,0.9999240115844543,1,1,1,0.9941554800447693,0.9907220038330613,0.9899749373433584,0.9892795904053002,0.9872638499886454,0.9880458648450842,0.9931327992177169,1,1,1,1,0.9939209164818921,0.990909090909091,0.9838311538207516,0.9802127659574468,0.975,0.9714285714285714,0.9690856903384684,0.9739130434782609,0.9795454545454545,0.9824578639611649,0.9875,0.9875
3,394463,"Chicago, IL",Msa,0.8809383271262268,0.8726525260658794,0.8803521408563425,0.8890404729422465,0.8964018829067373,0.9077269317329333,0.90625,0.9047619047619048,0.899399879265651,0.8939343400650939,0.8817635270541082,0.8768367422284575,0.8701740348069614,0.8833333333333333,0.8777735849056604,0.8826205641492265,0.8916920400173989,0.9,0.8997722095671982,0.9,0.8888888888888888,0.8863473909935669,0.879403600413865,0.8807640191786533,0.8803521408563425,0.8782172106621985,0.8814759218214789,0.8931761343336906,0.9090909090909091,0.9194893631602649,0.9213587715216379,0.9227348526959422,0.9236947791164659,0.9188411830089576,0.9171597633136095,0.9182631394293614,0.9123809523809524,0.9170487703209671,0.9206535456134823,0.9333333333333333,0.9454545454545454,0.9514278560698191,0.9549795361527967,0.9535020600353149,0.9531772575250836,0.9494024383995703,0.942133024449082,0.9392575928008999,0.9368029739776952,0.9384965831435079,0.9377316530763529,0.947457476177754,0.9553233871295581,0.9589907199979576,0.9564759564759565,0.9546352631834496,0.9480968858131488,0.9409719453967241,0.9357567628071987,0.9298998569384835,0.925,0.926530612244898,0.9305555555555556,0.9464285714285714,0.954653937947494,0.9585707219667686,0.9559804357492219,0.9523809523809523,0.9467667023937121,0.9426702577914583,0.9394572025052192,0.9336445481827276,0.9285714285714286,0.9296305012944223,0.9428098499673843,0.9546827794561934,0.960756208272403,0.9632107023411371,0.962278675904542,0.9601920384076815,0.9548347984237647,0.9504752376188094,0.9477009477009477,0.9423021165555233,0.9385964912280702,0.9426168923208028,0.9523809523809523,0.9619238476953907,0.968,0.9698202780603594,0.9683377308707124,0.9636650868878357,0.9596019192076768,0.9555555555555556,0.950950950950951,0.9489612721210566,0.9433962264150944,0.9440369420215495,0.9571428571428572,0.9682804674457429,0.9708166627441751,0.9717868338557993,0.9693558474046279,0.9649122807017544,0.96,0.9555555555555556,0.95,0.9423728813559322,0.9377930603313536,0.9440338983050847,0.9542,0.9656652360515021,0.9697053895442337,0.9692307692307692
4,394514,"Dallas-Fort Worth, TX",Msa,0.9744160301605954,0.9734660925726588,0.9877500645637336,0.9890568058817523,0.9939655172413793,0.9885865827267362,0.9769800196528006,0.9699598662207358,0.9781164658634538,0.9640687507831558,0.9606500684107263,0.9510470928479413,0.9494163424124513,0.9570108043217287,0.9609665410859448,0.9659162561576354,0.9689815303430079,0.9706193544401545,0.9639095343770174,0.9647490450725744,0.9616671217452187,0.9603954022988506,0.96269476372924645,0.9587055923639698,0.9629711908888761,0.9780526796589525,0.9777493748263406,0.9820477290223248,0.9877124620060791,0.9879994260562346,0.9869749200123852,0.9858091789922525,0.9844207428445007,0.9786775510204082,0.9809966597454185,0.9844961240310077,0.9828981145757796,0.9838709677419355,0.98936,0.9932023721275018,0.9940769201591569,0.9914991888894278,0.9892551724137931,0.9851591799514648,0.9867376190476191,0.9803961906803889,0.9754337148242898,0.9752321981424149,0.9732441471571907,0.9740072202166065,0.9779412044492223,0.9842807432001022,0.9858781982481044,0.9841397463627792,0.9855008759356585,0.9814273281114012,0.9813851851851851,0.9703715698646389,0.9696969696969697,0.9790160407962225,0.9736893352070274,0.9768795144835155,0.9874921826141339,0.9899974753427933,0.9950670355394765,1.0022507168698915,0.9894368421052631,0.9895726511627907,0.9858407326290994,0.9772727272727273,0.9772727272727273,0.97381861469295,0.9743411927877947,0.9809643857543017,0.9896634414667903,0.9910916666666667,0.9957213269572125,0.9949233346218271,0.9919153999562206,0.9901692313640582,0.9840697674418605,0.9811320754716981,0.9708940360610263,0.9730497078735383,0.9786670361088451,0.9795141121829225,0.9839090665426259,0.9900855057351408,0.9888169511477339,0.9907529722589168,0.9895833333333334,0.9810126582278481,0.979067405355494,0.973532986071186,0.9733078880407124,0.9718562430529826,0.9718666666666667,0.9767578699617535,0.981062476406191,0.9885057471264368,0.9902780330279083,0.9860315024973525,0.9820958399157451,0.9768032491125374,0.9740740740740741,0.9714285714285714,0.9697839071306052,0.968260595818007,0.9662664379645511,0.9762942394987393,0.9808117647058824,0.9838709677419355,0.9893370501890575,0.9868518056594884
5,394974,"Philadelphia, PA",Msa,0.9167656029926026,0.9156311314584696,0.91792656587473,0.9301353309178143,0.9358151759068647,0.9400636942675159,0.9340455689603206,0.9238716693855357,0.9233190086296433,0.9141697527400592,0.9151162790697674,0.9076923076923077,0.9031633311814073,0.8974537086512635,0.8974358974358975,0.9014975207435277,0.9161704076958315,0.9232544720138488,0.9243697478991597,0.9146341463414634,0.9083333333333333,0.9044477548414557,0.8990805067008152,0.9012607538749311,0.8929464732366184,0.89171974522293,0.8999748617395676,0.9076923076923077,0.9214022464022464,0.9310344827586207,0.9329947124865455,0.9286428571428571,0.9241063514395313,0.9178082191780822,0.9183673469387755,0.9218190724834531,0.9171679861593061,0.91780694378861,0.9207317073170732,0.9288368105172906,0.9404924442206808,0.94972067039106145,0.953125,0.9463148316651502,0.9413333333333334,0.9374545454545454,0.929368029739777,0.929601111015687,0.9261576971214017,0.9220557208307538,0.9286384347359957,0.9348298780252138,0.9445555873106601,0.9545454545454546,0.9523809523809523,0.9476167801186626,0.9404255319148936,0.9378907878282617,0.9306654257794323,0.9269406392694064,0.9226921977707917,0.92,0.9272746216067742,0.9417556257911583,0.9528346831824679,0.9544775818697797,0.9574468085106383,0.9508066614623991,0.9423021165555233,0.9420289855072463,0.9386733416770964,0.9348330762804447,0.9290555876435792,0.9315068493150684,0.9337539432176656,0.9495431719971275,0.96,0.963963963963964,0.9636709422578541,0.9605862547039018,0.9569230769230769,0.9538461538461539,0.9501702950158448,0.9487179487179487,0.9432547542509552,0.9393939393939394,0.9494761123460711,0.959835603427709,0.9666555518506169,0.9714285714285714,0.9696969696969697,0.9652235628105039,0.9623157894736842,0.96,0.9565217391304348,0.9544835640190463,0.9515599958727715,0.9488510007412898,0.9563636363636364,0.9633197480548351,0.9722814498933902,0.976915974145891,0.9746088740702744,0.9731663685152058,0.9682539682539683,0.9622641509433962,0.96,0.9561128526645768,0.9501900380076015,0.9477124183006536,0.9535020600353149,0.9648885727833096,0.971702157489741,0.9783783783783784
6,394692,"Houston, TX",Msa,0.9470824443196706,0.9409647058823529,0.9537703703703704,0.9562830188679246,0.9624699992211119,0.9588337874659401,0.9477277277277277,0.9386284274371566,0.9380681818181819,0.9302772886433097,0.9168424242424242,0.9150890052356021,0.9118513223731236,0.9129677980852916,0.9202183366033326,0.9280993211861379,0.9278253968253968,0.9259380898452246,0.917556945064761,0.923766497461929,0.9291019417475728,0.9244845570618627,0.9223510925646281,0.9248965608465609,0.9246880648485332,0.9391825,0.9287429943955164,0.9393273686957702,0.9484465408805032,0.9517986067131096,0.9549324564873418,0.9574465648854962,0.9551442774566474,0.9434366223763969,0.94244000000000006,0.9421871599564744,0.9468936936936937,0.9443314285714286,0.950283723688353,0.9533396889312595,0.9588525683789193,0.9584372460778798,0.9583358208955224,0.9501629754733545,0.9579721550098639,0.9501091670709891,0.9440251341303234,0.9432000171928392,0.9422182891870199,0.9443688525356392,0.9546832006416301,0.9658413659205116,0.9671181818181818,0.9722134687754846,0.9679282051282051,0.972972972972973,0.9645331335094267,0.9579078482264244,0.9496533333333333,0.9576107899807321,0.9724938130001539,0.9666666666666667,0.9686482758620689,0.9685886300663568,0.975308956550829,0.9806772102747909,0.9696651515151515,0.9702231707977085,0.9621526315789474,0.9541604390901505,0.9574436270244477,0.951188986232791,0.9556603773584905,0.9533311891233767,0.9641491441550605,0.9717981927710844,0.9716614583333333,0.9693340775028674,0.96977094972067035,0.9659895946490435,0.96,0.9484629303092118,0.9522673031026253,0.9494216886336944,0.9480036691932603,0.9507663534536148,0.9583289525048797,0.9583275596612779,0.9671414634146341,0.9622317596566523,0.967619609929078,0.9593194555644515,0.9530579825258141,0.9560420560747663,0.9568965517241379,0.9510143479304847,0.9556182657773217,0.9549181969949917,0.96,0.9695748974884675,0.9701040386303775,0.9684127401947881,0.9655172413793104,0.9619667046005655,0.9600687929956223,0.9507375751820196,0.9464882943143813,0.9457984721716988,0.9496267857142857,0.9574308285574038,0.9547688442211055,0.9653176293697532,0.9709981195756991,0.9700931911199305
7,395209,"Washington, DC",Msa,0.95,0.9526077637532746,0.9555555555555556,0.9661016949152542,0.9656042475428867,0.9661109567472446,0.962998630899957,0.9577408817661404,0.955410694637816,0.9559804357492219,0.954668052127982,0.9503029531666416,0.9481339987173321,0.948051948051948,0.9557467048965349,0.960256068284876,0.9634337685472483,0.9666666666666667,0.9637155297532656,0.958904109589041,0.954194050658121,0.9508814533526231,0.9499749874937469,0.9496074955684983,0.9433962264150944,0.9485062395534135,0.9575,0.9694396402628849,0.9748589020010262,0.9751218902362795,0.9751820339796762,0.9713406424312367,0.9714285714285714,0.9699909063352531,0.9712380158399333,0.9693678760026678,0.9668654221486053,0.9704497219023713,0.9791921664626683,0.9872184837994477,0.9908256880733946,0.9935541231384752,0.9916316526610645,0.9867531765341985,0.9832691967213,0.9813186813186813,0.9761904761904762,0.974025974025974,0.9663299446747926,0.9714285714285714,0.9798047067233411,0.985,0.9881187647324936,0.9872647730076274,0.9819018891887601,0.9768637532133676,0.9716981132075472,0.969912436631773,0.966542750929368,0.9615214468582591,0.9583333333333334,0.9629629629629629,0.974606777604165,0.9820283058263537,0.9859959988568162,0.9849462365591398,0.9803902343366997,0.9759638651395386,0.9717756341550554,0.9702171374781641,0.9679500967950097,0.9639869043288468,0.9622886866059818,0.9637934169849064,0.9748110831234257,0.983996,0.9876646107684615,0.9859154929577465,0.9855072463768116,0.9801960392078416,0.9766753022452505,0.9769649570203338,0.9754877438719359,0.9703842035946681,0.9701631701631701,0.9727626459143969,0.982953118523834,0.9915966386554622,0.9921587453992639,0.991834353344605,0.9882352941176471,0.9836065573770492,0.9823182711198428,0.9815327793167128,0.979765708200213,0.9743589743589743,0.9726794258373206,0.9782608695652174,0.9882352941176471,0.9989366785520198,1,1,0.9936305732484076,0.9874005575891197,0.9838383838383838,0.9818181818181818,0.9786232594626397,0.973850608068892,0.9743589743589743,0.98,0.9887330420786388,1,1,1
8,394856,"Miami-Fort Lauderdale, FL",Msa,0.8757297748123436,0.8668126037245732,0.8679245283018868,0.8727272727272727,0.8828722778104767,0.8904744961496429,0.9045226130653267,0.9090909090909091,0.9047619047619048,0.9042737526884901,0.9047619047619048,0.9018036072144289,0.9045226130653267,0.9022678846954519,0.8911917098445595,0.8949416342412452,0.8954477238619309,0.8984432913269088,0.9026780324766236,0.9119018944390281,0.9157894736842105,0.9107468123861566,0.9125,0.9166666666666666,0.9188234170566326,0.9163907734056989,0.9187696937773779,0.9193548387096774,0.9230769230769231,0.9287343481696805,0.9331914893617022,0.9375,0.9375,0.9387755102040817,0.9411764705882353,0.935675180263625,0.9403761504601841,0.9375,0.9366754617414248,0.9411764705882353,0.9421468504227162,0.9428571428571428,0.9489993544222078,0.9513335704125179,0.9498567335243553,0.949438202247191,0.9471766848816029,0.94375,0.9419354838709677,0.9387755102040817,0.9374739474781159,0.9361702127659575,0.9375,0.9415457041977247,0.9399749895789913,0.9403234151932257,0.9411764705882353,0.939183987682833,0.9363636363636364,0.9354202990773146,0.9337694882045855,0.9319557128042457,0.9342560553633218,0.935064935064935,0.9411764705882353,0.9444444444444444,0.9439733277766201,0.9433063363506432,0.9434447300771208,0.9422850412249706,0.943126607602172,0.9414225941422594,0.9384615384615385,0.9376338011226519,0.9411764705882353,0.9406952965235174,0.94237686773658,0.9455587392550143,0.9459459459459459,0.9457361414663223,0.9448818897637795,0.944,0.9433812518718179,0.9422492401215805,0.9379310344827586,0.938762947468923,0.9387755102040817,0.94,0.9411764705882353,0.9418112895359103,0.9411764705882353,0.9444444444444444,0.9428571428571428,0.9431818181818182,0.9406952965235174,0.9411764705882353,0.9385113268608414,0.9404889912954428,0.9417304296645085,0.9428571428571428,0.9420289855072463,0.9451219512195121,0.9444454938294924,0.946919178447586,0.9428571428571428,0.9416711642025455,0.9416666666666667,0.9386474127557161,0.935251798561151,0.9345454545454546,0.9383469829960703,0.9386733416770964,0.939536906845241,0.9424520433694745
9,394347,"Atlanta, GA",Msa,0.8760951188986232,0.8795472964489139,0.8792113304554494,0.8888888888888888,0.8947368421052632,0.9054115311440152,0.9032305939352158,0.9004690570422553,0.8892900353777189,0.8931761343336906,0.8732931089234678,0.8753294264767182,0.8684492682743313,0.8554641598119859,0.8741372502566533,0.8718362330529631,0.891728372949876,0.8940345234582473,0.8919443919443919,0.8947898177840754,0.8859060402684564,0.8893829905503057,0.9,0.8996282527881041,0.9022996945488722,0.8956796628029505,0.9138381201044387,0.9285714285714286,0.9333015721772272,0.937007874015748,0.9391776279994233,0.9424231398944879,0.939916117413558,0.9444444444444444,0.9458052303643405,0.9447313338306099,0.9454949944382648,0.9534191331607219,0.956,0.9608942107221687,0.9629629629629629,0.9636545515171724,0.963377972123531,0.9623832096347646,0.96,0.9570990359333917,0.9542857142857143,0.9519038076152304,0.9501484606969839,0.9523809523809523,0.9565217391304348,0.9629897134202929,0.9649122807017544,0.9653855605854327,0.9636598192025041,0.9569230769230769,0.954213158907272,0.95,0.9478810789238983,0.9476190476190476,0.9474692431831996,0.9489916963226572,0.960359091444511,0.9647310558547924,0.9696969696969697,0.9696969696969697,0.9671729076287477,0.9630872483221476,0.9607686148919136,0.9568480300187617,0.9555555555555556,0.9540229885057471,0.9538461538461539,0.9587328053355565,0.9655172413793104,0.9727982672260842,0.9777777777777777,0.9774436090225563,0.975609756097561,0.9733036377134373,0.9695652173913043,0.9685967647632041,0.9668755178259882,0.9644246803779878,0.9653356735410268,0.9666666666666667,0.975,0.9791666666666666,0.9821240071124482,0.9808124237904664,0.9795918367346939,0.9754877438719359,0.9735371926548397,0.9710144927536232,0.9711331755004751,0.9711639713086606,0.9697131900907285,0.9757575757575757,0.9802023255680823,0.9869328476431696,0.9885386819484241,0.987012987012987,0.9854457246816253,0.9803921568627451,0.9774436090225563,0.9733333333333334,0.9718412109978375,0.9704746888212039,0.9666666666666667,0.9723546234509056,0.9777777777777777,0.9799972965666397,0.9824561403508771,0.9811984263078842
