"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08"
"Minneapolis-St Paul, MN",11,,,,,,,,,,,,,1700,1750,1650,1722.5,1595,1600,1595,1600,1697.5,1695,1695,1647.5,1645,1695,1750,1685,1800,1995,1850,1892.5,1695,1725,1850,1750,1895,1895,1897.5,2085,1995,1937.5,1875,1875,1990,2100,1997.5,2000,1995,1898,1870,1950,1995,1825,1800,1850,1800,2000,2195,2000,1995,2097.5,2072.5,2000,1976.5,1900,1950,1995,2000,2195,2195,2137.5,2150,2100,2100,2150,2095,1900,2100,2045,1897.5,2095,2122.5,2200,2299.5,2195,2200,2100,2167.5,2137.5,2100,2150,2270,2600,2500,2395,2297.5,2250,2250,2350,2195,2195,2100,2022.5,2200,2595,2595,2400,2495,2400,2350,2350,2200,2250,2189
"San Diego, CA",12,,,,,,,,,,,,,,,4000,3800,3800,3825,3997.5,3800,3800,3600,3500,3800,3772.5,3950,3500,3595,3800,3500,3350,3400,3295,3100,3200,3200,3499,3100,3485,3500,3400,3500,3500,3500,3400,3420,3595,3550,3500,3500,3500,3950,4000,4000,3800,3950,3975,3995,3995,3950,4000,3950,3995,3800,3900,3710,3697.5,3780,3800,3800,3795,3995,4000,4200,4200,3997.5,3900,3700,3695,3800,3800,3950,3800,4097.5,4500,4500,4400,4400,4400,4325,4500,4300,4225,4250,4180,4500,4550,4500,4300,4500,4550,4500,4500,4225,3972.5,4200,4499.5,4400,4750,4795,4800,4800,4700,4547.5,4500
"Tampa, FL",13,,,,,,,,,,,,,2100,2000,2000,2200,2192.5,2100,1995,1985,1900,1925,1987.5,1925,1872.5,1900,1895,1975,1950,1975,2050,2095,1950,2000,1875,1850,1997.5,1995,2000,2000,1950,1900,2095,1999.5,1995,1899,1950,1925,1950,1950,1995,2000,2000,2100,2095,2012.5,2000,1995,1995,1995,2000,2000,2125,2100,2125,2100,2100,2150,2040,2012.5,2075,2147.5,2025,2050,2095,2095,2197.5,2124.5,2172.5,2250,2000,2295,2115,2195,2149.5,2195,2200,2297.5,2200,2150,2175,2200,2195,2199.5,2185,2195,2197.5,2200,2225,2295,2250,2300,2345,2200,2172.5,2200,2200,2200,2222.5,2195,2285,2375.5,2400,2395,2312.5
"Denver, CO",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2595,2250,2150,2200,2200,2247.5,2295,2297,2299,2299,2200,2312,2300,2397.5,2347.5,2400,2395,2299,2400,2395,2200,2242.5,2395,2495,2495,2550,2500,2500,2500,2497.5,2395,2395,2395,2472.5,2600,2500,2497,2497.5,2425,2300,2425,2500,2495,2495,2485,2497.5,2525,2495,2575,2500,2375,2325,2300,2050,2255,2395,2325,2495,2450,2495,2450,2399,2395,2400,2472.5,2400,2495,2449.5,2595,2600,2497.5,2400,2400,2400,2500,2495,2400,2300,2495,2500,2650,2800,2750,2600,2550,2525
"Pittsburgh, PA",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,1190,1200,1165,1150,1200,1200,1200,1200,1200,1195,1100,1200,1300,1200,1210,1299.5,1200,1285,1267.5,1200,1200,1200,1200,1300,1350,1372.5,1492.5,1462.5,1397.5,1372.5,1337.5,1325,1377.5,1387.5
"Portland, OR",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100,2097.5,2195,2035,2197.5,1825,1995,2022.5,1995,2200,2295,2500,2497.5,2350,2295,2247.5,2200,1950,2200,2200,2200,2295,2372.5,2372.5,2195,2125,2095,1800,1897.5,2192.5,2195,2200,2300,2447.5,2499,2395,2495
"Charlotte, NC",17,,2350,2500,2497.5,2300,2147.5,1995,2000,2100,2000,2325,2250,2200,2200,2047.5,1995,1995,2100,1900,1825,1800,1800,1825,1995,1800,1800,2100,2200,2050,2072.5,2072.5,2200,2000,2000,2000,1875,2025,1925,1882.5,1895,1899.5,1972.5,1950,1950,1900,1937.5,1925,1885,1885,1895,1875,1862.5,2075,2125,2025,1995,1995,1995,1995,1995,1995,2025,2065,2000,2150,2050,2000,2000,2025,2050,2075,2105,2112.5,2162.5,2162.5,2145,1995,2195,2195,2100,2125,2200,2025,2099,2100,2114.5,2212.5,2200,2177,2195,2135,2095,2095,2095,2035,2025,2032.5,2047.5,2077.5,2095,2200,2221,2200,2200,2195,2100,2100,2120,2175,2175,2185,2245,2247.5,2200,2195
"Sacramento, CA",18,,,,,,,,,,,,,,,,,,,,,,,,,,1695,1695,1800,1850,1795,1795,1772.5,1800,1800,1750,1750,1750,1750,1750,1800,1850,1795,1850,1795,1795,1795,1795,1850,1850,1850,1850,1895,1895,1947.5,1945,1972.5,1995,1995,1900,1895,2095,1995,1995,1950,2100,2195,2150,2050,2000,2192.5,2095,2024.5,2095,2150,2195,2170,2195,2295,2100,2225,2100,2200,2350,2200,2295,2295,2200,2350,2400,2395,2370,2370,2350,2295,2295,2295,2400,2495,2450,2500,2572.5,2495,2400,2450,2495,2399,2400,2425,2399.5,2467.5,2500,2497,2575,2600,2550
"San Antonio, TX",19,,,,,,,,,,,,,,1750,1850,1900,1947.5,1995,1950,2100,2195,1925,1875,1875,1995,1995,1997.5,2148,1950,1850,1850,1850,1800,1795,1795,1900,1850,1972.5,2000,1995,2150,1995,1850,1897.5,1900,1872.5,1975,1850,1750,1750,1795,1900,1900,1900,1900,1900,1795,1750,1850,1895,1800,1995,2000,1960,1995,1995,2100,1850,1750,1749.5,1750,1850,1900,1995,1972.5,1900,1950,2045,1855,2100,1800,1850,1900,1995,1995,2000,2000,2000,1995,2000,1995,1995,1995,1995,2097.5,1995,2000,2000,1995,1982.5,1992.5,2125,1950,1995,1900,1862.5,1900,1900,1850,1850,1895,1950,2000,1995,1900
"Orlando, FL",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,2000,1995,1972.5,1912.5,1995,1995,1996.5,2012.5,2100,2075,2050,2000,2000,2000,2100,2097.5,2100,2150,2100,2100,2112.5,2100,2197,2249,2250,2100,2100,2250,2295,2200,2275,2250,2277.5,2296.5,2300,2397.5,2300,2350,2350,2300,2300,2300,2399,2450,2450,2400,2350,2399,2400,2350,2300,2395,2390.5,2400,2500,2595,2500,2500,2499.5
"Cleveland, OH",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,1100,950,1000,1000,1100,1100,1100,1150,1100,1072.5,1100,1000,975,900,985,1100,1200,1100,1097.5,1050,1095,1000,1075,1075,1100,1050,1200,1197.5,1237.5,1250,1200,1199.5,1225
"Kansas City, MO",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,1150,1075,1050,1199,1150,1050,1050,1000,1000,1150,1099,1060,1199.5,1150,1100,1100,1100,1197,1150,1150,1197.5,1200,1195,1195,1100,1100,1117.5,1100,1150,1175,1200,1200,1235,1235,1250
"Las Vegas, NV",23,,,,,,1925,2198,1995,2200,2100,2147.5,1900,1897.5,1900,1995,1825,1850,1875,1850,1800,1895,1950,1950,1900,1835,1850,1750,1697,1750,1795,1750,1795,1700,1700,1690,1695,1695,1700,1700,1700,1700,1750,1775,1800,1797.5,1750,1745,1700,1750,1750,1750,1799.5,1795,1795,1800,1800,1795,1795,1800,1797.5,1799,1800,1835,1850,1995,1895,1895,1895,1837.5,1815,1895,1895,1900,1935,1932.5,1950,2000,1895,1995,1950,1920,1995,1895,1900,1995,2000,2100,2195,2100,2037.5,2012.5,2000,2000,2035,2055,2095,2095,2195,2295,2250,2225,2200,2200,2200,2200,2200,2200,2300,2195,2200,2395,2495,2495,2400,2300
"San Jose, CA",24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5500,5800,5897.5,5750,5500,5550,5500,4995,4922.5,4990,4750,4797.5,4800,5200,5900,5950,5697.5,5545,5197.5,5225,4995,4900,5000,5150,5500,5550,5500,6000,5500,5100
"Austin, TX",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3750,3945,3750,3500,3500,3450,3497.5,3525,3497.5,3295,3400,4000,4000,3837.5,3700,3800,3800,3800,3750,3800,3600,3700,3995
"Virginia Beach, VA",26,,,,,,,,,,,2195,2100,2050,2195,2175,2200,2195,2000,2100,2100,2000,2000,2000,2000,2000,1997.5,2197.5,2185,2195,2195,2047.5,1995,1850,1897.5,1900,1795,1800,1800,1995,2100,2050,2083,1992.5,1992.5,1995,1995,1995,1925,1900,1950,1995,2000,2125,2100,2100,2000,2000,2000,2100,1990,1900,1900,1950,2000,2100,2000,1900,1900,1950,1975,1950,1900,1900,1975,1900,2100,2000,2097.5,2000,1995,1997.5,1950,2000,2000,1950,1950,2000,2195,2200,2195,2075,1995,1950,1895,1900,1900,1950,1950,1950,2145,2200,2150,2037.5,2037.5,2050,2100,1995,2050,1995,2040,2200,2200,2200,2200,2200
"Nashville, TN",27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997.5,1950,1950,1975,1900,1800,1785,1925,2020,2020,1895,1887.5,2000,2200,1925,2000,1997.5,1825,1849.5,1970,1900,2095,1875,2050,1872.5,1800
"Providence, RI",28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,2400,2250,2000,2000,1875,1900,2100,2100,2000,2195,2200,2499,2200,2295,2000,1985,1850,1800,2000,2000,2200,2250,2022.5,2300,2300,2200,2200,2200,2100,2000
"Milwaukee, WI",29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1025,1147.5,1095,1250,1250,1200,1025,1025,1055,950,995,1010,900,950,1050,1050,1100,1095,1012.5,950,999,999,1050,1000,1037.5,1100,1047.5,1100,1097.5,1150,1075,1100
"Jacksonville, FL",30,,,,,,,,,,,,1924.5,1972,1895,2100,1995,2022.5,1999,1995,1999,2000,1970,1995,1925,1800,1980,1970,1997,1997,1900,1895,1800,1900,1850,1825,1785,1695,1800,1825,1875,1887.5,1995,1925,1912.5,1900,1900,1900,1875,1810,1800,1795,1991,2000,1997.5,1995,1950,1853.5,1897,1845,1950,1950,1925,1950,1900,1950,1895,1900,1850,1895,1895,1995,1995,1900,1964,1985,2100,1925,1995,1950,1972.5,1895,1900,1999.5,2000,1950,1995,2152.5,2095,2152.5,2175,2295,2150,2200,2200,2100,2100,1995,1995,1999.5,2062.5,2150,2100,2000,1999,1995,1950,1795,1900,1950,2005,2100,2000,2000,1960,1995
"Memphis, TN",31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1597.5,1562.5,1497.5,1495,1295,1295,1145,1195,1310,1295,1297,1397.5,1300,1299
"Oklahoma City, OK",32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1225,1125,1095,1000,1022.5,962.5,995,997,1062.5,1075,1085,1012.5,1037.5,1075,1145
"Hartford, CT",33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1287.5,1175,1250,1300,1300,1100,1100,1100,1100,1100,1100,1100,1150,1100,1100,1100,1100,1150,1100,1150,1200,1200,1150,1100,1100,1100,1000,1000,1075,1187.5,1197.5,1200,1200,1200,1195,1192.5,1150,1150,1100,1125,1150,1100,1150,1150,1200,1200,1150,1250,1250,1275,1275,1275,1300,1350,1300,1300,1325,1285,1275,1267.5,1260,1300,1300,1300,1300,1300,1297.5,1300,1300,1300,1300,1300,1300,1295,1295,1300,1387.5,1325
"Richmond, VA",34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1595,1650,1647.5,1550,1750,1795,1795,1745,1695,1650,1750,1725,1700,1760,1700,1737.5,1500,1722.5,1772.5,1822.5,1737.5,1750,1800,1800,1850,1850,1797.5,1772.5,1800,1750,1725,1895,1850,1600,1800,1850,1975,1950,1800,1800,1899,1900,1772.5,1795,1800,1787.5,1850,1725,1900,2100,1830,1825,1800,1875,1750,1775,2000,1950,2100,2000,2172.5,2050,1972.5,1925,1975,1975,2025,2100,2075,2000,2195,2195,2100,2000,2000,2100,2047.5,2147.5,2047.5,2100,2150,1995,2200,2247.5,2295,2197.5
"Buffalo, NY",35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850,800,697.5,750,762.5,795,762.5,750,750,850,800,800,890,850,850,825,800,850,850,840,925,897.5,950,912.5,1000,925,875,875,900,900,900,925,950,950,950,962.5,997.5,950,975,950,950,950,950,950,990,1000,1000,1050,1000,999,1000,975,950,900,940,975,975,1000,1000,1000,995,1000
"Salt Lake City, UT",36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1695,1695,1700,1700,1795,1797.5,1810,1895,1910,1995,1899.5,1862.5,1849,1800,1900,1912.5,1950,1925,1995,1995,1995,1917.5,1995,1995,2000,2000,2095,1995,2000,1995,2100,2149.5,2195,2125,2150
"Rochester, NY",37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050,975,1050,1062.5,1100,995,1000,950,950,1097.5,1100,1200,1200,1262.5,1250,1175,1235,1200,1095,1100,1025,1087.5,1200,1200,1250,1250,1250,1150
"Urban Honolulu, HI",38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500,3450,3250,3425,3450,3200,3400,3150,3100,3100,2900,2800,2800,2742.5,2550,2700,3075,3000,3212.5,3300,3200,2975,3000,3250,2922,3050,3000,2900,2995,2800,2500,2600,2900,2850,2550,2677,3000,2880,3000,2700,2700,2650,2682,2675,2675,2800,2800,2700,2664,2525,2695,2600,2595,2500,2500,2632,2650,2697.5,2665.5,2537.5,2500,2500,2500,2500,2600,2600,2665.5,2625,2657,2700,2500,2650,2687.5,2500
"Worcester, MA",39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1237.5,1350,1400,1250,1100,1150,1295,1300,1350,1350,1300,1337.5,1400,1275,1175,1262.5,1300,1300,1250,1450,1425,1450,1495,1397.5,1372,1395,1400,1350,1400,1475,1500,1500,1500,1400,1425,1450,1600,1450,1475
"Albany, NY",40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1230,1302.5,1302.5,1325,1212.5,1200,1150,1100,1097.5,1200,1190,1100,1145,1150,1100,1200,1200,1120,1100,1150,1200,1200,1095,1135,1295,1250,1200,1399,1399,1395,1325,1350,1300,1400,1275,1225,1325,1275,1250,1300,1350,1295,1200,1200,1200,1190,1185,1200,1200,1225,1350,1412.5,1350,1297.5,1300,1300,1325,1245,1300,1445,1500,1465,1485,1400,1410,1500,1400,1400,1350,1299
"New Haven, CT",41,975,895,950,950,962.5,1000,1100,1050,1000,975,975,975,950,950,1025,1000,975,1000,1065,1090,1100,1100,1025,1012.5,1037.5,1012.5,1000,1012.5,1100,1100,1100,1100,1050,1100,1100,1037.5,1000,1057.5,1037.5,1050,1050,1075,1100,1050,1070,1050,1025,1057.5,1050,1050,1097.5,1000,1100,1100,1100,1057.5,1070,1050,1100,1150,1150,1150,1112.5,1100,1100,1100,1125,1087.5,1100,1100,1100,1150,1100,1150,1200,1100,1150,1100,1200,1100,1100,1100,1100,1150,1200,1250,1200,1250,1250,1250,1262.5,1250,1250,1245,1200,1200,1300,1300,1300,1350,1385,1385,1374.5,1262.5,1200,1250,1300,1262.5,1300,1300,1262.5,1300,1300,1350,1400
"Ventura, CA",42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3950,3950,4197.5,4000,3850,3900,4200,4172.5,3950,3700,3862.5,3800,3850,4000,3972.5,4000,4100,4100,4300,4750,4500,3995,3998,4237.5,4250,4200,4000,4200,4275,4275,3950,4125
"Allentown, PA",43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,1500,1450,1425,1350,1400,1300,1295,1300,1300,1350,1450,1450,1375,1250,1300
"Columbia, SC",44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750,1697.5,1700,1612.5,1625,1737.5,1700,1725,1672.5,1695,1695,1650,1637.5,1650,1697.5,1700,1725,1795,1797.5,1700,1895,2000,1935,1850,1700,1700,1624.5,1600
